LM1,TS,LM2,REFERENCE,DFTB,AM1,PM3,PM3MM,PM6
4c1,e5,1s5(1),1,1,1,1,1,0
4c1,e5,os2,1,0,1,1,1,0
4c1,e5,b25,1,0,1,1,1,0
4c1,e5,1s5(0),0,1,1,1,1,0
3s1(1),3h2,1c4,1,1,1,1,1,1
4c1,e3,bo3,1,1,1,1,1,0
4c1,4h5,1s5(1),1,1,1,1,1,0
4c1,4h5,1s5(0),0,1,1,1,1,0
4c1,4h5,bo3,0,0,1,0,0,0
4c1,4h5,b25,0,0,1,1,1,0
os2,3h2,1c4,1,1,1,1,1,1
os2,e2,1c4,1,1,1,1,1,0
4c1,e1,5s1,1,0,1,1,1,0
4c1,oh1(1),5s1,1,0,1,1,1,0
4c1,2h1,5s1,1,0,1,1,1,0
b25,e2,1c4,0,0,1,1,1,1
14b,eo,1c4,0,0,1,0,0,0
1s3,eo,1c4,0,0,1,0,0,1
bo3,eo,1c4,0,0,1,0,0,1
bo3,bo3,1s3,1,0,1,1,1,0
bo3,25b,5s1,1,1,1,1,1,0
4c1,oh5,1s5(1),1,1,1,0,0,0
1s3,14b,1c4,0,0,1,0,0,1
1s3,1e,1c4,1,1,1,1,1,1
14b,14b,1c4,0,0,1,0,0,1
14b,1e,1c4,1,1,1,1,0,1
1s3,1h2,1c4,0,0,1,1,1,1
14b,1h2,1c4,1,1,1,1,0,1
1s5(1),1h2,1c4,1,1,1,1,1,1
1s5(0),1h2,1c4,1,1,1,1,1,1
4c1,4h3,bo3,1,1,1,1,1,1
1s3,2so,1c4,0,1,1,1,1,0
1s3,5ho,1c4,0,0,1,0,0,1
14b,2so,1c4,0,1,1,0,0,0
14b,5ho,1c4,0,0,1,0,0,0
bo3,5e,5h4,0,0,1,0,0,0
bo3,5e,1c4,1,0,1,1,1,0
25b,5h4,1c4,0,0,1,0,0,0
25b,5e,1c4,1,1,1,1,1,0
4c1,oh5,b25,1,1,1,0,0,0
4c1,oh5,os2,1,1,1,1,1,0
4c1,oh5,1s5(0),0,1,1,0,0,0
4c1,oh1(0),3s1(1),1,1,1,1,1,0
4c1,oh1(1),3s1(1),1,1,1,1,1,0
4c1,oh1(1),3s1(0),1,1,1,1,1,0
1s5(1),b25,os2,1,1,1,0,0,0
1s5(1),os2,os2,1,0,1,0,0,1
1s5(0),b25,os2,0,0,1,0,0,0
4c1,4h3,1s3,1,1,1,1,1,0
bo3,4h5,1s5(1),0,0,1,0,0,0
bo3,4h5,1s5(0),0,0,1,0,0,0
1s3,1s5,1s5(1),0,0,1,0,0,1
1s3,14b,1s5(1),0,1,1,1,1,1
14b,1s5,1s5(1),0,0,1,0,0,0
14b,14b,1s5(1),1,1,1,0,0,0
1s3,1s5,1s5(0),0,0,1,0,0,0
1s3,14b,1s5(0),0,1,1,1,1,0
1s5(0),1s5,14b,0,0,1,0,0,0
1s5(0),14b,14b,1,1,1,0,0,0
bo3,1s5,1s5(1),0,0,1,0,0,0
bo3,14b,1s5(1),1,0,1,0,0,0
bo3,1s5,1s5(0),0,0,1,0,0,0
bo3,14b,1s5(0),1,0,1,0,0,0
bo3,5ho,1c4,1,1,1,1,1,0
4c1,4e,1s3,0,1,1,1,1,0
4c1,4e,14b,1,1,1,0,0,0
4c1,4e,bo3,0,0,1,0,0,1
os2,3ob,1c4,0,0,1,0,0,1
3s1(1),3h4,1c4,1,1,1,1,1,1
3s1(1),3ob,1c4,0,0,1,0,0,1
3s1(1),b14,25b,0,0,1,0,0,0
14b,1h2,1h2,0,0,1,0,0,0
14b,1e,1h2,0,0,1,0,0,0
1s3,1h2,1h2,0,0,1,0,0,0
1s3,1e,1h2,0,0,1,0,0,0
4c1,4h3,14b,1,1,1,0,0,0
1s5(1),1e,1c4,1,1,1,1,1,0
bo3,2h1,5s1,0,0,1,0,0,0
1s3,2h1,5s1,0,0,1,0,0,0
1s3,25b,5s1,1,1,1,0,0,0
bo3,2so,5s1,0,0,1,0,0,0
bo3,2so,5e,0,0,1,0,0,1
bo3,bo3,14b,1,1,1,0,0,0
bo3,2so,25b,1,0,1,0,0,0
bo3,2so,5h4,0,0,1,0,0,0
1s3,5e,1c4,1,1,1,0,0,0
5s1,e1,3s1(1),0,1,0,0,0,0
5s1,b14,3s1(1),0,1,0,0,0,0
bo3,25b,3s1(1),0,1,0,0,0,0
bo3,25b,3s1(0),1,1,0,0,0,0
3s1(0),5s1,1c4,1,1,0,1,1,0
3s1(0),5h4,1c4,1,1,0,1,1,0
14b,5e,1c4,0,1,0,0,0,0
1s3,1ho,1c4,1,1,0,1,1,1
14b,1ho,1c4,0,1,0,0,0,1
5s1,5e,1c4,0,1,0,1,1,0
4c1,oh5,3s1(1),1,1,0,1,1,0
b25,b25,1s5(1),1,1,0,0,0,0
1s5(0),1e,1c4,1,1,0,1,1,1
1s5(0),1ho,1c4,0,1,0,0,0,0
bo3,2so,1c4,1,1,0,1,1,0
4c1,e1,3s1(1),0,1,0,1,1,0
3s1(1),3ob,b25,0,1,0,0,0,0
4c1,4h5,14b,0,1,0,1,1,0
4c1,4h5,1s3,0,1,0,0,0,0
5s1,25b,14b,0,1,0,0,0,0
3s1(1),5s1,1c4,1,1,0,0,0,0
3s1(1),5h4,1c4,0,1,0,0,0,0
1s5(1),1h2,1h2,0,1,0,0,0,0
1s5(1),1e,1h2,0,1,0,0,0,0
5s1,5h4,1c4,1,1,0,1,1,0
5s1,2so,25b,0,1,0,0,0,0
bo3,1s3,14b,1,1,0,0,0,0
bo3,1s3,1s3,1,1,0,1,1,0
bo3,14b,os2,0,1,0,0,0,0
