method,REF,B3LYP,DFTB,AM1,PM3,PM3MM,PM6
4c1,0.01114,0.00461,0.0062,0.01088,0.01266,0.01266,0.05408
e3,n/a,n/a,n/a,n/a,0.08497,0.08497,n/a
bo3,0.04478,0.02173,0.03104,0.03505,0.06798,0.06825,0.0452
1s3,0.0404,0.02884,0.02874,0.03654,0.03723,0.03716,0.07814
3s1,0.07148,0.04528,0.07684,0.16754,0.06724,0.06724,0.2243
5s1,0.04807,0.03199,0.02682,0.04223,0.08219,0.08219,0.03931
1s5,0.02541,0.03172,0.02644,0.01978,0.04527,0.09307,0.04323
os2,0.04358,0.04223,0.02587,0.06996,0.04737,0.04766,0.14799
25b,0.03342,0.23063,0.27006,0.08419,0.07194,0.06977,0.09121
5e,n/a,n/a,n/a,0.18407,n/a,n/a,0.14154
1e,n/a,n/a,n/a,n/a,n/a,n/a,0.33633
e2,n/a,n/a,n/a,n/a,0.23216,0.23216,n/a
5h4,n/a,n/a,n/a,0.45356,0.38423,0.38423,0.27004
1h2,n/a,n/a,n/a,n/a,0.31154,n/a,0.17729
3h2,n/a,n/a,n/a,n/a,0.37272,0.37272,n/a
1c4,0.03266,0.02496,0.01867,0.02239,0.03645,0.03488,0.04923
