LM1,TS,LM2,REF,B3LYP,DFTB,DFTB3,AM1,PM3,PM3MM,PM6,PM7
4c1,4h5,1s5,12.935,12.321,7.325,n/a,3.751,3.537,3.536,n/a,3.66
4c1,oh5,1s5,14.464,14.601,7.177,n/a,5.312,n/a,n/a,n/a,4.889
4c1,4h5,os2,12.935,12.321,n/a,n/a,3.751,3.537,3.536,n/a,n/a
4c1,4h3,bo3,8.712,7.701,n/a,n/a,3.656,3.12,3.12,1.682,2.702
4c1,e3,bo3,6.94,6.357,6.677,n/a,3.651,4.011,4.011,1.682,2.893
4c1,4h5,bo3,n/a,n/a,n/a,n/a,3.751,n/a,n/a,n/a,3.66
4c1,oh1,5s1,13.55,12.967,n/a,n/a,5.967,5.771,5.771,n/a,n/a
4c1,2h1,5s1,12.922,11.89,n/a,n/a,4.488,5.481,5.481,n/a,n/a
4c1,oh5,os2,14.464,14.601,7.177,n/a,5.312,3.633,3.632,-0.168,4.889
4c1,oh1,3s1,13.55,12.967,7.492,n/a,5.967,5.771,5.771,n/a,5.836
4c1,oh1,os2,13.55,12.967,n/a,n/a,5.967,5.771,5.771,n/a,n/a
4c1,4h3,1s3,8.712,7.701,6.121,n/a,3.656,3.12,3.12,n/a,2.702
4c1,4e,1s3,9.62,9.462,6.031,n/a,3.786,3.14,3.139,n/a,2.549
4c1,4e,bo3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.094,2.549
4c1,b25,os2,9.892,9.914,n/a,n/a,n/a,3.809,3.809,n/a,n/a
4c1,3ob,1s5,9.627,10.231,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,2h1,3s1,12.922,11.89,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,oh5,3s1,14.464,14.601,7.177,n/a,n/a,3.633,3.632,n/a,n/a
4c1,3ob,3s1,9.627,10.231,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,25b,5s1,12.252,11.351,n/a,n/a,n/a,3.953,3.953,n/a,n/a
4c1,3ob,os2,9.627,10.231,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,e3,1s3,6.94,6.357,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,25b,3s1,n/a,11.351,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,4h3,1s5,8.712,7.701,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,4e,1s5,9.62,9.462,n/a,5.21,n/a,n/a,n/a,n/a,n/a
4c1,2h1,25b,n/a,n/a,n/a,n/a,n/a,5.481,5.481,n/a,n/a
4c1,b25,1s5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,4h5,3s1,n/a,n/a,n/a,n/a,n/a,3.537,3.536,n/a,n/a
4c1,b25,3s1,n/a,n/a,n/a,n/a,n/a,3.809,3.809,n/a,n/a
4c1,4h5,1s3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.78,n/a
4c1,oh1,25b,n/a,n/a,n/a,n/a,n/a,5.771,5.771,n/a,n/a
4c1,e3,e3,n/a,n/a,n/a,n/a,n/a,4.011,4.011,n/a,n/a
4c1,2h1,bo3,12.922,n/a,n/a,n/a,n/a,n/a,n/a,2.765,n/a
4c1,oh1,bo3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,25b,bo3,12.252,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,oh5,1s3,14.464,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
