LM1,TS,LM2,REF,B3LYP,DFTB,DFTB3,AM1,PM3,PM3MM,PM6,PM7
3s1,3h2,1c4,2.864,2.908,4.756,n/a,3.138,n/a,n/a,n/a,2.423
os2,3h2,1c4,3.912,3.143,6.007,n/a,3.533,4.689,4.695,1.518,2.163
os2,b25,1c4,3.22,1.973,n/a,n/a,1.942,2.539,2.545,n/a,0.575
1s3,eo,1c4,n/a,n/a,n/a,n/a,6.527,n/a,n/a,2.768,6.997
bo3,eo,1c4,n/a,n/a,n/a,n/a,5.974,n/a,n/a,2.92,6.738
1s3,14b,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.596,2.55
1s3,1h2,1c4,6.892,6.474,5.74,n/a,4.111,4.678,4.658,1.694,3.04
1s3,1ho,1c4,10.378,9.553,7.106,n/a,5.858,4.944,4.924,1.777,6.617
1s5,1h2,1c4,5.37,4.485,4.926,4.483,3.623,3.429,4.021,1.364,3.066
1s3,5e,1c4,8.42,6.735,6.177,n/a,3.772,4.008,3.988,0.877,3.749
bo3,5h4,1c4,8.408,8.48,n/a,n/a,3.494,3.259,3.269,n/a,n/a
25b,5h4,1c4,0.2,2.549,2.191,n/a,3.391,3.565,3.562,n/a,n/a
bo3,5e,1c4,8.98,7.752,4.934,n/a,3.219,3.381,3.391,n/a,3.491
3s1,3h4,1c4,6.421,4.594,5.4,n/a,4.672,4.277,4.277,1.679,n/a
25b,5e,1c4,0.772,1.822,2.229,n/a,3.116,3.687,3.684,n/a,n/a
bo3,1ho,1c4,10.938,10.57,n/a,n/a,n/a,4.317,4.328,n/a,n/a
bo3,1h2,1c4,7.453,7.491,n/a,n/a,n/a,4.051,4.062,n/a,n/a
3s1,5h4,1c4,5.673,5.125,5.608,n/a,n/a,2.881,2.881,n/a,3.206
5s1,5h4,1c4,3.726,3.619,4.204,n/a,n/a,2.031,2.031,0.95,n/a
3s1,5e,1c4,6.245,4.397,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s3,5h4,1c4,7.848,7.463,6.14,n/a,n/a,n/a,n/a,n/a,n/a
5s1,5e,1c4,4.298,n/a,4.241,n/a,n/a,2.153,2.153,n/a,n/a
os2,3h4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.04,4.78
1s5,1ho,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5s1,25b,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
os2,1h2,1c4,5.765,n/a,n/a,n/a,n/a,4.417,4.423,n/a,n/a
3s1,3s1,1c4,n/a,n/a,n/a,n/a,n/a,3.519,3.519,n/a,3.792
bo3,1s3,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.917,n/a
1e,1h2,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.916,n/a
os2,3ob,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.576,5.058
1s5,b25,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.558,3.629
1s5,3h2,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.566,5.217
5s1,3s1,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.019,n/a
1s3,1c4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.839,n/a
3s1,3ob,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
os2,3s1,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.533
1s5,14b,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.576
