LM1,TS,LM2,REF,B3LYP,DFTB,AM1,PM3,PM3MM,PM6
3s1,3h2,1c4,0.008,0.066,0.006,0.076,0,0,0
os2,3h2,1c4,0.001,0.044,0.001,0.039,0.004,0.004,0.062
os2,b25,1c4,0.004,0.32,0,0.57,0.133,0.135,0
1s3,eo,1c4,0,0,0,0.0,0,0,0.007
bo3,eo,1c4,0,0,0,0.001,0,0,0.006
1s3,14b,1c4,0,0,0,0,0,0,0.054
1s3,1h2,1c4,0.0,0.0,0.001,0.015,0.004,0.004,0.046
1s3,1ho,1c4,0.0,0.0,0.0,0.001,0.002,0.002,0.04
1s5,1h2,1c4,0.0,0.005,0.005,0.033,0.03,0.011,0.08
1s3,5e,1c4,0.0,0.0,0.001,0.026,0.011,0.012,0.182
bo3,5h4,1c4,0.0,0.0,0,0.041,0.04,0.04,0
25b,5h4,1c4,0.712,0.121,0.488,0.049,0.024,0.024,0
bo3,5e,1c4,0.0,0.0,0.005,0.066,0.032,0.032,0
3s1,3h4,1c4,0.0,0.004,0.002,0.006,0.007,0.007,0.047
25b,5e,1c4,0.271,0.413,0.458,0.078,0.019,0.02,0
bo3,1ho,1c4,0.0,0.0,0,0,0.007,0.007,0
bo3,1h2,1c4,0.0,0.0,0,0,0.01,0.01,0
3s1,5h4,1c4,0.0,0.002,0.002,0,0.075,0.077,0
5s1,5h4,1c4,0.002,0.02,0.016,0,0.315,0.322,0.161
3s1,5e,1c4,0.0,0.005,0,0,0,0,0
1s3,5h4,1c4,0.0,0.0,0.001,0,0,0,0
5s1,5e,1c4,0.001,0,0.015,0,0.256,0.262,0
os2,3h4,1c4,0,0,0,0,0,0,0.026
1s5,1ho,1c4,0,0,0,0,0,0,0
5s1,25b,1c4,0,0,0,0,0,0,0
os2,1h2,1c4,0.0,0,0,0,0.006,0.006,0
3s1,3s1,1c4,0,0,0,0,0.026,0.026,0
bo3,1s3,1c4,0,0,0,0,0,0,0.031
1e,1h2,1c4,0,0,0,0,0,0,0.031
os2,3ob,1c4,0,0,0,0,0,0,0.056
1s5,b25,1c4,0,0,0,0,0,0,0.011
1s5,3h2,1c4,0,0,0,0,0,0,0.011
5s1,3s1,1c4,0,0,0,0,0,0,0.143
1s3,1c4,1c4,0,0,0,0,0,0,0.007
3s1,3ob,1c4,0,0,0,0,0,0,0
