method,REF,B3LYP,DFTB,AM1,PM3,PM3MM,PM6
4c1,0.24306268981132656,0.3233269187241064,0.5716036970616222,0.847809215999422,0.5654753177246827,0.5654753177246827,7.82633176196606
e3,n/a,n/a,n/a,n/a,4.752125656999998,4.752125656999998,n/a
bo3,4.677045914143745,4.62670956719604,4.078325907025853,1.6993494746117075,1.4176527629046556,1.4040334751268269,3.7846346305576053
1s3,6.2169483763750195,6.4432595323462944,3.3532858838208055,1.6114573407753636,1.9947647413046772,2.030389746598717,3.8963869920982597
3s1,7.836380454788478,8.082556705205752,3.324348918500981,2.3693184671430285,2.757398781031858,2.757398781031858,5.667389989341925
5s1,10.030998517704052,10.079469156904283,5.327669881062358,5.049348805331629,3.140238144105598,3.1402381441055978,10.116828312481825
1s5,7.65386638287946,8.451020136443322,4.196680250724459,2.1087248562363086,3.1657953095304383,3.186189269172751,5.4312898362311675
os2,6.7961709450158505,8.289613755429148,2.2492618470089094,2.229403683418348,2.0568533290425406,2.0493522715522294,6.5392866100053535
25b,13.907033174276979,11.047073423826852,8.183507191172524,1.900607280897744,1.673101717086952,1.675145224033651,3.699833325789366
5e,n/a,n/a,n/a,2.585337080000008,n/a,n/a,0.04139846748931506
1e,n/a,n/a,n/a,n/a,n/a,n/a,4.567638010999987
e2,n/a,n/a,n/a,n/a,6.193042963943223,6.193042963943223,n/a
5h4,n/a,n/a,n/a,n/a,5.010031855999994,5.010031855999994,4.65737179799999
1h2,n/a,n/a,n/a,3.8849082190000015,5.146828818000009,n/a,3.9706295422033158
3h2,n/a,n/a,n/a,n/a,5.541531979000004,5.541531979000004,n/a
1c4,5.8756850117929895,5.593498890910304,2.2641844608652133,0.7112580397746264,0.5858774866006008,0.6111324788684712,1.3793802003238091
