method,REF,B3LYP,DFTB,DFTB3,AM1,PM3,PM3MM,PM6,PM7
4h3,0.01832,0.0197,0.13576,0.02944,0.07032,0.12237,0.12237,0.39708,0.21524
2e,0.34951,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
e3,0.01041,0.01364,0.09206,0.06094,0.15473,0.11232,0.11232,0.53334,0.41943
4e,0.21029,0.20487,0.12569,0.23878,0.09206,0.12394,0.12394,0.11339,0.12432
4h5,0.03663,0.05523,0.26559,0.19837,0.07192,0.07251,0.07251,0.58021,0.12484
oh1,0.02895,0.02742,0.05611,0.03709,0.09936,0.03875,0.03875,0.27225,0.16447
2h1,0.07637,0.07046,n/a,0.22326,0.27152,0.11936,0.11936,0.20226,0.27727
oh5,0.04915,0.06519,0.0473,0.03278,0.10398,0.17078,0.17078,0.2166,0.24749
bo3,0.03464,0.11781,0.1719,0.02784,0.14552,0.09039,0.09039,0.33427,n/a
1s3,0.06011,0.0883,0.09864,0.0911,n/a,n/a,n/a,0.29394,n/a
25b,0.02823,0.03008,0.05749,0.06201,0.09636,0.11268,0.11268,0.26557,n/a
1s5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.11268,n/a
3ob,0.02784,0.02992,0.12235,0.03092,n/a,0.1059,0.1059,0.11399,0.15217
b14,n/a,n/a,0.18997,n/a,0.08712,0.17248,0.17248,n/a,0.1497
b25,0.03425,0.04006,0.0895,0.04401,0.04737,0.11282,0.11282,0.1548,0.03918
3s1,n/a,n/a,n/a,n/a,n/a,0.36549,0.36549,0.14731,0.12479
14b,0.04755,0.09114,0.09394,0.12637,0.08626,0.19416,0.19416,0.1165,0.08295
5h4,0.04734,0.04842,0.13929,0.07349,0.20122,0.10039,0.10039,0.39574,n/a
3h4,0.0606,0.04899,0.06678,0.045,0.23431,0.15059,0.15059,0.18402,0.26939
3h2,0.01066,0.01873,0.02726,0.09314,0.05751,0.1317,0.1317,0.17414,0.07949
5e,0.03178,0.04675,0.10181,0.06393,0.08338,0.09829,0.09829,0.27851,0.12682
eo,n/a,n/a,n/a,n/a,0.10085,n/a,n/a,0.13015,0.16747
1ho,0.11304,0.10383,0.09598,0.21714,0.33249,0.15807,0.15807,0.22279,0.11727
1h2,0.02157,0.02477,0.02602,0.02694,0.05323,0.07616,0.07616,0.12115,0.04504
1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.36923,n/a
