method,REF,B3LYP,DFTB,DFTB3,AM1,PM3,PM3MM,PM6,PM7
4h3,2.62632,2.3882,1.66074,2.33217,3.70389,4.07187,4.07187,0.47874,1.04819
2e,0.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
e3,2.95562,1.93895,1.44201,0.68683,1.79763,2.05224,2.05224,2.68573,1.01216
4e,3.26568,1.95285,2.82761,3.16683,4.56029,5.14811,5.14811,0.92486,1.43317
4h5,2.05,1.03906,4.94552,4.8967,7.03447,8.55654,8.55654,3.18862,3.24041
oh1,1.70066,1.13057,4.50048,4.43881,5.67331,6.02535,6.02535,3.26091,2.72837
2h1,0.85148,0.9039,n/a,3.46961,7.05402,7.29557,7.29557,3.50536,2.84242
oh5,1.15051,0.51115,6.44868,7.18804,7.33034,9.5548,9.5548,5.87714,4.42164
bo3,1.13948,0.53332,1.24487,3.51027,5.28376,5.26554,5.26554,3.95738,n/a
1s3,1.94682,1.5967,3.43893,2.89822,n/a,n/a,n/a,3.44099,n/a
25b,2.28441,1.82139,3.27619,3.69144,5.95947,7.67928,7.67928,1.81537,n/a
1s5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.0,n/a
3ob,4.38135,4.01286,2.98215,3.957,n/a,4.34912,4.34912,1.89779,1.69436
b14,n/a,n/a,0.0,n/a,0.0,0.0,0.0,n/a,0.0
b25,2.37755,2.12544,4.9223,5.14064,5.09331,4.08136,4.08136,1.80481,3.11741
3s1,n/a,n/a,n/a,n/a,n/a,0.0,0.0,0.0,0.0
14b,0.75903,0.94058,2.44405,2.93151,4.67161,3.87307,3.87307,3.30301,3.81794
5h4,2.86076,2.95647,3.60542,3.312,7.25969,7.38565,7.38565,2.60527,n/a
3h4,0.15572,1.28579,5.34578,5.921,7.54229,8.06367,8.06367,6.59078,4.41967
3h2,2.91987,2.76489,1.7423,2.26075,3.81866,3.18602,3.18602,1.46678,2.11776
5e,3.60437,3.33098,3.31269,3.78676,7.17855,7.70346,7.70346,7.34471,6.61877
eo,n/a,n/a,n/a,n/a,0.0,n/a,n/a,0.0,0.0
1ho,1.57755,1.29647,5.46773,6.24127,9.45653,8.49953,8.49953,9.97675,7.46926
1h2,3.22223,3.17466,3.15349,3.42644,5.80205,5.29858,5.29858,5.28362,5.95153
1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.0,n/a
