method,REF,B3LYP,DFTB,DFTB3,AM1,PM3,PM3MM,PM6,PM7
4h3,8.441929888437292,7.468758768533283,6.111958450408508,5.429070577574228,4.20392752257277,3.152523574060878,3.152523574060878,8.920667944000003,7.307586908249835
2e,15.000000236360002,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
e3,6.234943611044476,5.783247827191462,6.761818669513538,6.073996140247047,3.9871038907790846,4.002710878718382,4.002710878718382,8.920667944000003,7.2471014410000025
4e,9.368566434718202,9.358443031767372,6.0221944251516675,5.159968863361349,4.497588433509527,3.1917468489572,3.1917468489572,8.3180029017531,7.379004590378789
4h5,12.964581626433217,12.402993729066923,7.315847027039278,8.067883212997984,4.719913313961972,3.551895253945736,3.551895253945735,9.77596271099999,8.52287488206266
oh1,13.099456982126798,12.6856627861369,7.784143607828507,7.918213010643377,6.480066074244762,5.774333684380279,5.774333684380278,9.68800177594238,10.25825057580304
2h1,13.379675434178184,12.436617335899438,n/a,9.60340953673436,4.731680312099703,4.475132328056187,4.475132328056187,9.740813356806441,10.515795821999998
oh5,14.983294992022678,14.685861311433628,7.163948860028901,6.409728448472746,5.764767472506167,3.242630032605046,3.242630032605046,6.774037661596925,9.82054933485885
bo3,8.69111400956771,8.102622128060663,9.935977505998824,4.385139616972084,3.153463568888748,3.4255716309999946,3.4255716309999946,3.2517793298558013,n/a
1s3,8.940930085591885,8.107830131213982,5.5019989119977,4.852257701910238,n/a,n/a,n/a,4.345862419735704,n/a
25b,11.673416142159331,10.950581923783568,7.649014860868295,7.318721421263399,5.031619618783793,2.412058817173557,2.412058817173557,9.509181981994411,n/a
1s5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.721109824407627,n/a
3ob,8.581414399975687,9.241024412483176,5.599262806997362,3.204366427199731,n/a,2.9610605578490694,2.9610605578490694,5.935242717435257,8.353462347192702
b14,n/a,n/a,7.269691764997883,n/a,3.6646525600000075,2.142873944650721,2.142873944650721,n/a,6.691330892005692
b25,9.041848266749838,9.132243702658887,3.746173901655217,2.875104882724185,2.5189953803162313,3.410753753508181,3.410753753508181,6.86813738439501,5.144637776292054
3s1,n/a,n/a,n/a,n/a,n/a,4.307221776000006,4.307221776000006,9.886016109381988,6.95469534692398
14b,8.51224262094838,9.09470329427888,5.967722870199764,5.248361915266922,3.122020355056808,4.639174037000007,4.639174037000007,3.875686955906339,3.079079707913605
5h4,11.982565290077344,11.856244342135316,7.578694718850354,8.166271172256776,3.7116561003778137,4.134105277230059,4.134105277230059,9.369336878999983,n/a
3h4,12.80820642423896,11.378256554212516,7.036572241007619,6.565801408935272,5.254942997550554,4.440547451657716,4.440547451657717,5.671926056492015,8.388540311999995
3h2,8.641871198425406,9.230514580161998,6.354362268485112,6.065035339869118,4.469372303475972,4.914254775338719,4.914254775338719,6.75213131284052,5.412854261260755
5e,12.263341803947643,12.103677712222293,7.647734386555335,7.600184752467545,2.9451712582034886,3.5043183585380713,3.5043183585380717,3.3727796521941436,3.548419670136334
eo,n/a,n/a,n/a,n/a,6.36521278776079,n/a,n/a,5.438377316820248,7.758403837170915
1ho,15.456895387188196,14.889835949947726,9.196617376702282,8.366117398515378,5.959452972999986,5.0162732887466115,5.0162732887466115,4.091335659622503,7.259134909703237
1h2,10.798427815680048,10.617207332459376,6.667328416002786,6.194040738925572,3.7096869654775326,4.644767579858267,4.644767579858267,5.025871223520839,2.931346037745377
1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.974891351999994,n/a
