LM1,TS,LM2,REF,B3LYP,DFTB,AM1,PM3,PM3MM,PM6,PM7
4c1,4h5,1s5,7.411,8.128,3.625,1.261,2.6,2.621,n/a,-3.345
4c1,b25,1s5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,4h5,os2,6.553,7.966,n/a,1.382,1.491,1.484,n/a,n/a
4c1,oh5,1s5,7.411,8.128,3.625,1.261,n/a,n/a,n/a,-3.345
4c1,4h3,bo3,4.434,4.303,n/a,0.852,0.852,0.839,-4.042,-3.41
4c1,e3,bo3,4.434,4.303,3.507,0.852,0.852,0.839,-4.042,-3.41
4c1,4h5,bo3,n/a,n/a,n/a,0.852,n/a,n/a,n/a,-3.41
4c1,oh1,5s1,9.788,9.756,n/a,4.202,2.575,2.575,n/a,n/a
4c1,2h1,5s1,9.788,9.756,n/a,4.202,2.575,2.575,n/a,n/a
4c1,oh5,os2,6.553,7.966,1.678,1.382,1.491,1.484,-1.287,0.575
4c1,oh1,3s1,7.593,7.759,2.753,1.522,2.192,2.192,n/a,-0.215
4c1,4h3,1s3,5.974,6.12,2.782,0.764,1.429,1.465,n/a,-3.474
4c1,4e,1s3,5.974,6.12,2.782,0.764,1.429,1.465,n/a,-3.474
4c1,4e,bo3,n/a,n/a,n/a,n/a,n/a,n/a,-4.042,-3.41
4c1,oh1,os2,6.553,7.966,n/a,n/a,1.491,1.484,n/a,n/a
4c1,b25,os2,6.553,7.966,n/a,n/a,1.491,1.484,n/a,n/a
4c1,3ob,1s5,7.411,8.128,n/a,n/a,n/a,n/a,n/a,n/a
4c1,2h1,3s1,7.593,7.759,n/a,n/a,n/a,n/a,n/a,n/a
4c1,oh5,3s1,7.593,7.759,2.753,n/a,2.192,2.192,n/a,n/a
4c1,3ob,3s1,7.593,7.759,n/a,n/a,n/a,n/a,n/a,n/a
4c1,25b,5s1,9.788,9.756,n/a,n/a,2.575,2.575,n/a,n/a
4c1,3ob,os2,6.553,7.966,n/a,n/a,n/a,n/a,n/a,n/a
4c1,e3,1s3,5.974,6.12,n/a,n/a,n/a,n/a,n/a,n/a
4c1,25b,3s1,n/a,7.759,n/a,n/a,n/a,n/a,n/a,n/a
4c1,4h3,1s5,7.411,8.128,n/a,n/a,n/a,n/a,n/a,n/a
4c1,4e,1s5,7.411,8.128,n/a,n/a,n/a,n/a,n/a,n/a
4c1,2h1,25b,n/a,n/a,n/a,n/a,1.108,1.11,n/a,n/a
4c1,4h5,3s1,n/a,n/a,n/a,n/a,2.192,2.192,n/a,n/a
4c1,b25,3s1,n/a,n/a,n/a,n/a,2.192,2.192,n/a,n/a
4c1,4h5,1s3,n/a,n/a,n/a,n/a,n/a,n/a,-3.93,n/a
4c1,oh1,25b,n/a,n/a,n/a,n/a,1.108,1.11,n/a,n/a
4c1,e3,e3,n/a,n/a,n/a,n/a,4.187,4.187,n/a,n/a
4c1,2h1,bo3,4.434,n/a,n/a,n/a,n/a,n/a,-4.042,n/a
4c1,oh1,bo3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,2e,3s1,7.593,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,5h4,5s1,9.788,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,25b,bo3,4.434,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,oh5,1s3,5.974,n/a,n/a,n/a,n/a,n/a,n/a,n/a
