LM1,TS,LM2,REF,B3LYP,DFTB,DFTB3,AM1,PM3,PM3MM,PM6,PM7
3s1,3h2,1c4,2.766,3.637,4.09,n/a,3.758,n/a,n/a,n/a,4.946
os2,3h2,1c4,2.766,3.637,4.09,n/a,3.758,4.328,4.303,5.373,4.946
os2,b25,1c4,3.166,3.539,n/a,n/a,1.808,2.825,2.8,n/a,4.678
1s3,eo,1c4,n/a,n/a,n/a,n/a,5.654,n/a,n/a,4.059,7.291
bo3,eo,1c4,n/a,n/a,n/a,n/a,5.654,n/a,n/a,4.059,7.291
1s3,14b,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.496,2.612
1s3,1h2,1c4,4.923,5.024,4.403,n/a,2.998,4.059,4.034,3.646,2.464
1s3,1ho,1c4,9.581,9.296,6.932,n/a,5.248,4.43,4.405,2.712,6.792
1s5,1h2,1c4,4.923,5.024,4.403,3.364,2.998,4.059,4.034,3.646,2.464
1s3,5e,1c4,6.388,6.51,5.384,n/a,2.234,2.918,2.893,1.993,3.081
bo3,5h4,1c4,6.107,6.263,n/a,n/a,3.0,3.548,3.523,n/a,n/a
25b,5h4,1c4,6.107,6.263,5.315,n/a,3.0,3.548,3.523,n/a,n/a
bo3,5e,1c4,6.388,6.51,5.384,n/a,2.234,2.918,2.893,n/a,3.081
3s1,3h4,1c4,6.933,5.785,4.772,n/a,4.544,3.855,3.829,4.293,n/a
25b,5e,1c4,6.388,6.51,5.384,n/a,2.234,2.918,2.893,n/a,n/a
bo3,1ho,1c4,9.581,9.296,n/a,n/a,n/a,4.43,4.405,n/a,n/a
bo3,1h2,1c4,4.923,5.024,n/a,n/a,n/a,4.059,4.034,n/a,n/a
3s1,5h4,1c4,6.107,6.263,5.315,n/a,n/a,3.548,3.523,n/a,n/a
5s1,5h4,1c4,6.107,6.263,5.315,n/a,n/a,3.548,3.523,7.99,n/a
3s1,5e,1c4,6.388,6.51,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s3,5h4,1c4,6.107,6.263,5.315,n/a,n/a,n/a,n/a,n/a,n/a
5s1,5e,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s5,1ho,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5s1,25b,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
os2,1h2,1c4,4.923,n/a,n/a,n/a,n/a,4.059,4.034,n/a,n/a
3s1,3s1,1c4,n/a,n/a,n/a,n/a,n/a,3.721,3.696,n/a,6.488
os2,3h4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.293,7.922
bo3,1s3,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.966,n/a
1e,1h2,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.646,n/a
os2,3ob,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.556,7.886
1s5,b25,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5.489,4.678
1s5,3h2,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5.373,4.946
5s1,3s1,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8.507,n/a
1s3,1c4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.596,n/a
3s1,3ob,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
os2,3s1,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.488
1s5,14b,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.612
3s1,b14,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.224
