LM1,TS,LM2,REF,B3LYP,DFTB,AM1,PM3,PM3MM,PM6
4c1,4h5,1s5,0.0,0.0,0.041,0.071,0.044,0.044,0
4c1,b25,1s5,0,0,0,0,0,0,0
4c1,4h5,os2,0.0,0.0,0,0.071,0.044,0.044,0
4c1,oh5,1s5,0.0,0.0,0.053,0.012,0,0,0
4c1,4h3,bo3,0.011,0.026,0,0.169,0.085,0.085,0.023
4c1,e3,bo3,0.465,0.456,0.104,0.244,0.02,0.02,0.023
4c1,4h5,bo3,0,0,0,0.071,0,0,0
4c1,oh1,5s1,0.0,0.0,0,0.004,0.001,0.001,0
4c1,2h1,5s1,0.0,0.0,0,0.069,0.009,0.009,0
4c1,oh5,os2,0.0,0.0,0.053,0.012,0.073,0.073,0.877
4c1,oh1,3s1,0.0,0.0,0.019,0.004,0.001,0.001,0
4c1,4h3,1s3,0.011,0.026,0.313,0.169,0.085,0.085,0
4c1,4e,1s3,0.002,0.001,0.364,0.103,0.08,0.08,0
4c1,4e,bo3,0,0,0,0,0,0,0.065
4c1,oh1,os2,0.0,0.0,0,0,0.001,0.001,0
4c1,b25,os2,0.004,0.002,0,0,0.055,0.055,0
4c1,3ob,1s5,0.009,0.001,0,0,0,0,0
4c1,2h1,3s1,0.0,0.0,0,0,0,0,0
4c1,oh5,3s1,0.0,0.0,0.053,0,0.073,0.073,0
4c1,3ob,3s1,0.009,0.001,0,0,0,0,0
4c1,25b,5s1,0.0,0.0,0,0,0.298,0.298,0
4c1,3ob,os2,0.009,0.001,0,0,0,0,0
4c1,e3,1s3,0.465,0.456,0,0,0,0,0
4c1,25b,3s1,0,0.0,0,0,0,0,0
4c1,4h3,1s5,0.011,0.026,0,0,0,0,0
4c1,4e,1s5,0.002,0.001,0,0,0,0,0
4c1,2h1,25b,0,0,0,0,0.009,0.009,0
4c1,4h5,3s1,0,0,0,0,0.044,0.044,0
4c1,b25,3s1,0,0,0,0,0.055,0.055,0
4c1,4h5,1s3,0,0,0,0,0,0,0.006
4c1,oh1,25b,0,0,0,0,0.001,0.001,0
4c1,e3,e3,0,0,0,0,0.02,0.02,0
4c1,2h1,bo3,0.0,0,0,0,0,0,0.006
4c1,oh1,bo3,0,0,0,0,0,0,0
4c1,2e,3s1,0.0,0,0,0,0,0,0
4c1,5h4,5s1,0.0,0,0,0,0,0,0
4c1,25b,bo3,0.0,0,0,0,0,0,0
4c1,oh5,1s3,0.0,0,0,0,0,0,0
