File Name,new_cluster_group,boltzmann_weighting,cluster_group_H298 (Hartrees)
beta-glucose223-TS_am1.log,4h3,0.028969825703840286,5.1242384940000045
beta-glucose179-TS_am1.log,4h3,0.27514973458071323,3.791409377999995
beta-glucose138-TS_am1.log,4h3,0.08521291234582531,4.4854343319999925
beta-glucose203-TS_am1.log,4h3,0.15739987842150005,4.122106620999995
beta-glucose221-TS_am1.log,4h3,0.06614542070498437,4.635408982999985
beta-glucose154-TS_am1.log,4h3,0.003988155984441542,6.2983078330000115
beta-glucose219-TS_am1.log,4h3,0.05322840999172224,4.764048327999992
beta-glucose202-TS_am1.log,4h3,0.20449948317051764,3.9671118979999966
beta-glucose206-TS_am1.log,4h3,0.03342588780317654,5.039524779000007
beta-glucose137-TS_am1.log,4h3,0.002983025048207351,6.470245299000009
beta-glucose155-TS_am1.log,4h3,0.08899726624507144,4.459706462999984
beta-glucose206-TS_am1.log,e3,0.05207310659582821,5.039524779000007
beta-glucose137-TS_am1.log,e3,0.004647157982100481,6.470245299000009
beta-glucose179-TS_am1.log,e3,0.42864684830521405,3.791409377999995
beta-glucose138-TS_am1.log,e3,0.13275043266026398,4.4854343319999925
beta-glucose89-TS_am1.log,e3,0.3818824544565933,3.859807859000011
beta-glucose218-TS_am1.log,4e,0.05014041988292124,5.113570841000011
beta-glucose224-TS_am1.log,4e,0.29371489566801134,4.066885829000009
beta-glucose152-TS_am1.log,4e,0.15683515541067222,4.438371156999998
beta-glucose156-TS_am1.log,4e,0.06696423747215152,4.942260883999997
beta-glucose155-TS_am1.log,4e,0.15128437756526042,4.459706462999984
beta-glucose249-TS_am1.log,4e,0.07136074951638059,4.904610343999994
beta-glucose221-TS_am1.log,4e,0.11243905821320677,4.635408982999985
beta-glucose154-TS_am1.log,4e,0.006779373358255481,6.2983078330000115
beta-glucose219-TS_am1.log,4e,0.09048173291314027,4.764048327999992
beta-glucose251-TS_am1.log,4h5,0.0043725991795258625,6.972252498999989
beta-glucose228-TS_am1.log,4h5,0.2304766255974591,4.624741329999992
beta-glucose222-TS_am1.log,4h5,0.0015942567528027963,7.569641066999994
beta-glucose255-TS_am1.log,4h5,0.004581331844577195,6.944642102999996
beta-glucose210-TS_am1.log,4h5,0.4194517654439832,4.270198745000004
beta-glucose157-TS_am1.log,4h5,0.09542857377289335,5.146828817999992
beta-glucose233-TS_am1.log,4h5,0.11222779868569564,5.050819940999983
beta-glucose211-TS_am1.log,4h5,0.012184990402673115,6.365451295999992
beta-glucose208-TS_am1.log,4h5,0.018092876185308523,6.131390438999984
beta-glucose246-TS_am1.log,4h5,0.09166171927783853,5.170674160000016
beta-glucose225-TS_am1.log,4h5,0.003124874829798343,7.171172851999996
beta-glucose229-TS_am1.log,4h5,0.0068025880274441616,6.710581245999989
beta-glucose244-TS_am1.log,oh1,0.0489501662517992,7.650589727999988
beta-glucose231-TS_am1.log,oh1,0.019779686414002753,8.187109922999985
beta-glucose242-TS_am1.log,oh1,0.2763010697995276,6.625867530999991
beta-glucose238-TS_am1.log,oh1,0.017790655238654023,8.249860823000013
beta-glucose234-TS_am1.log,oh1,0.6137186598556815,6.153353253999988
beta-glucose243-TS_am1.log,oh1,0.023459762440334788,8.086080974000005
beta-glucose135-TS_am1.log,2h1,0.0021421846402258056,8.361557424999985
beta-glucose176-TS_am1.log,2h1,0.9978578153597742,4.723887751999987
beta-glucose216-TS_am1.log,oh5,0.0021340801285843892,8.988438916000002
beta-glucose250-TS_am1.log,oh5,0.0020390079299431358,9.015421803000011
beta-glucose230-TS_am1.log,oh5,0.004725161532640957,8.517807165999985
beta-glucose227-TS_am1.log,oh5,0.8162278545872053,5.467485916999982
beta-glucose226-TS_am1.log,oh5,0.0054983948637344895,8.428073378999981
beta-glucose225-TS_am1.log,oh5,0.04593734769125489,7.171172851999996
beta-glucose229-TS_am1.log,oh5,0.10000171796872782,6.710581245999989
beta-glucose222-TS_am1.log,oh5,0.023436435297908932,7.569641066999994
beta-glucose119-TS_am1.log,bo3,0.8127307773062105,2.9907078939999954
beta-glucose89-TS_am1.log,bo3,0.1872692226937896,3.859807859000011
beta-glucose125-TS_am1.log,25b,0.2757430554581455,5.114825859000012
beta-glucose136-TS_am1.log,25b,0.0037985202103618682,7.651844745999989
beta-glucose128-TS_am1.log,25b,0.06857472191619715,5.9387451759999825
beta-glucose130-TS_am1.log,25b,0.11823476463840023,5.616205550000009
beta-glucose176-TS_am1.log,25b,0.5336489377768954,4.723887751999987
beta-glucose150-TS_am1.log,b14,1.0,3.6646525600000075
beta-glucose189-TS_am1.log,b25,0.46675943144945686,2.3820241640000135
beta-glucose252-TS_am1.log,b25,0.39984623677808256,2.4736404780000005
beta-glucose191-TS_am1.log,b25,0.13308465864193234,3.12499481999999
beta-glucose251-TS_am1.log,b25,0.0002005323863183039,6.972252498999989
beta-glucose200-TS_am1.log,b25,0.0001091407442100914,7.332442665000001
