LM1,TS,LM2,REF,B3LYP,DFTB,AM1,PM3,PM3MM,PM6
4c1,4h5,1s5,1,1,1,1,1,1,0
4c1,b25,1s5,0,0,0,0,0,0,0
4c1,4h5,os2,1,1,0,1,1,1,0
4c1,oh5,1s5,1,1,1,1,0,0,0
3s1,3h2,1c4,1,1,1,1,0,0,0
4c1,4h3,bo3,1,1,0,1,1,1,1
4c1,e3,bo3,1,1,1,1,1,1,1
4c1,4h5,bo3,0,0,0,1,0,0,0
os2,3h2,1c4,1,1,1,1,1,1,1
4c1,oh1,5s1,1,1,0,1,1,1,0
4c1,2h1,5s1,1,1,0,1,1,1,0
os2,b25,1c4,1,1,0,1,1,1,0
1s3,eo,1c4,0,0,0,1,0,0,1
bo3,eo,1c4,0,0,0,1,0,0,1
bo3,bo3,1s3,1,1,1,1,1,1,0
bo3,25b,5s1,1,1,1,1,1,1,0
1s3,14b,1c4,0,0,0,0,0,0,1
1s3,1h2,1c4,1,1,1,1,1,1,1
1s3,1ho,1c4,1,1,1,1,1,1,1
1s5,1h2,1c4,1,1,1,1,1,1,1
1s3,5e,1c4,1,1,1,1,1,1,1
bo3,5h4,1c4,1,1,0,1,1,1,0
25b,5h4,1c4,1,1,1,1,1,1,0
4c1,oh5,os2,1,1,1,1,1,1,1
4c1,oh1,3s1,1,1,1,1,1,1,0
1s5,b25,os2,1,1,1,1,0,0,1
4c1,4h3,1s3,1,1,1,1,1,1,0
bo3,4h5,1s5,0,0,0,1,0,0,0
1s3,14b,1s5,1,1,1,1,1,1,1
bo3,14b,1s5,1,1,0,1,0,0,0
bo3,5e,1c4,1,1,1,1,1,1,0
4c1,4e,1s3,1,1,1,1,1,1,0
4c1,4e,bo3,0,0,0,0,0,0,1
3s1,3h4,1c4,1,1,1,1,1,1,1
3s1,b14,25b,0,0,0,1,0,0,0
1s3,1h2,1h2,0,0,0,1,0,0,0
1s3,25b,5s1,1,1,1,1,0,0,0
bo3,2h1,5s1,0,0,0,0,0,0,0
bo3,5e,5s1,0,0,0,1,0,0,0
bo3,5e,5e,0,0,0,1,0,0,1
bo3,e3,1s3,1,0,0,1,0,0,0
bo3,5e,25b,1,1,0,1,0,0,0
25b,5e,1c4,1,1,1,1,1,1,0
4c1,oh1,os2,1,1,0,0,1,1,0
3s1,3ob,os2,1,1,1,0,1,1,0
4c1,b25,os2,1,1,0,0,1,1,0
4c1,3ob,1s5,1,1,0,0,0,0,0
4c1,2h1,3s1,1,1,0,0,0,0,0
4c1,oh5,3s1,1,1,1,0,1,1,0
bo3,1s3,1s3,1,1,1,0,0,0,0
bo3,25b,25b,1,1,0,0,0,0,0
4c1,3ob,3s1,1,1,0,0,0,0,0
