LM1,TS,LM2,REF,B3LYP,DFTB,DFTB3,AM1,PM3,PM3MM,PM6,PM7
3s1,3h2,1c4,2.766,3.637,4.09,n/a,n/a,n/a,n/a,n/a,n/a
os2,3h2,1c4,2.766,3.637,4.09,n/a,n/a,n/a,n/a,n/a,n/a
os2,b25,1c4,3.166,3.539,n/a,n/a,1.808,2.825,2.8,n/a,n/a
1s3,eo,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
bo3,eo,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s3,14b,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.496,2.612
1s3,1h2,1c4,n/a,n/a,4.403,n/a,n/a,n/a,n/a,n/a,2.464
1s3,1ho,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.712,n/a
1s5,1h2,1c4,n/a,n/a,4.403,3.364,n/a,n/a,n/a,n/a,2.464
1s3,5e,1c4,n/a,n/a,n/a,n/a,2.234,2.918,2.893,1.993,n/a
bo3,5h4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
25b,5h4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
bo3,5e,1c4,n/a,n/a,n/a,n/a,2.234,2.918,2.893,n/a,n/a
3s1,3h4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
25b,5e,1c4,n/a,n/a,n/a,n/a,2.234,2.918,2.893,n/a,n/a
bo3,1ho,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
bo3,1h2,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
3s1,5h4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5s1,5h4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
3s1,5e,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s3,5h4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5s1,5e,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s5,1ho,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5s1,25b,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
os2,1h2,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
3s1,3s1,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
os2,3h4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
bo3,1s3,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1e,1h2,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
os2,3ob,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s5,b25,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s5,3h2,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5s1,3s1,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s3,1c4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
3s1,3ob,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
os2,3s1,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s5,14b,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.612
3s1,b14,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
