LM1,TS,LM2,REF,B3LYP,DFTB,DFTB3,AM1,PM3,PM3MM,PM6,PM7
4c1,4h5,1s5,5.311,3.952,3.119,n/a,2.611,0.386,0.366,n/a,6.595
4c1,b25,1s5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,4h5,os2,6.168,4.113,n/a,n/a,2.491,1.495,1.503,n/a,n/a
4c1,oh5,1s5,7.329,6.235,2.967,n/a,3.656,n/a,n/a,n/a,7.893
4c1,4h3,bo3,3.765,2.842,n/a,n/a,2.505,1.735,1.748,5.136,5.445
4c1,e3,bo3,1.558,1.157,2.683,n/a,2.288,2.585,2.599,5.136,5.385
4c1,4h5,bo3,n/a,n/a,n/a,n/a,3.021,n/a,n/a,n/a,6.661
4c1,oh1,5s1,3.068,2.606,n/a,n/a,1.431,2.634,2.634,n/a,n/a
4c1,2h1,5s1,3.349,2.357,n/a,n/a,-0.318,1.335,1.335,n/a,n/a
4c1,oh5,os2,8.187,6.396,4.915,n/a,3.535,1.186,1.193,0.235,3.973
4c1,oh1,3s1,5.263,4.603,4.46,n/a,4.111,3.017,3.017,n/a,5.201
4c1,4h3,1s3,2.225,1.025,2.759,n/a,2.592,1.158,1.122,n/a,5.509
4c1,4e,1s3,3.152,2.915,2.669,n/a,2.886,1.197,1.161,n/a,5.58
4c1,4e,bo3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.533,5.517
4c1,oh1,os2,6.303,4.396,n/a,n/a,n/a,3.717,3.725,n/a,n/a
4c1,b25,os2,2.246,0.843,n/a,n/a,n/a,1.354,1.361,n/a,n/a
4c1,3ob,1s5,0.928,0.79,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,2h1,3s1,5.543,4.354,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,oh5,3s1,7.147,6.603,3.84,n/a,n/a,0.485,0.485,n/a,n/a
4c1,3ob,3s1,0.745,1.158,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,25b,5s1,1.642,0.871,n/a,n/a,n/a,-0.728,-0.728,n/a,n/a
4c1,3ob,os2,1.785,0.951,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,e3,1s3,0.018,-0.66,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,25b,3s1,n/a,2.868,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,4h3,1s5,0.788,-0.982,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,4e,1s5,1.715,0.907,n/a,1.313,n/a,n/a,n/a,n/a,n/a
4c1,2h1,25b,n/a,n/a,n/a,n/a,n/a,2.802,2.8,n/a,n/a
4c1,4h5,3s1,n/a,n/a,n/a,n/a,n/a,0.794,0.794,n/a,n/a
4c1,b25,3s1,n/a,n/a,n/a,n/a,n/a,0.653,0.653,n/a,n/a
4c1,4h5,1s3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5.88,n/a
4c1,oh1,25b,n/a,n/a,n/a,n/a,n/a,4.101,4.099,n/a,n/a
4c1,e3,e3,n/a,n/a,n/a,n/a,n/a,-0.749,-0.749,n/a,n/a
4c1,2h1,bo3,8.703,n/a,n/a,n/a,n/a,n/a,n/a,5.956,n/a
4c1,oh1,bo3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,2e,3s1,7.164,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,5h4,5s1,1.952,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,25b,bo3,6.996,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,oh5,1s3,8.766,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
