LM1,TS,LM2,REF,B3LYP,DFTB,AM1,PM3,PM3MM,PM6
3s1,3h2,1c4,0.006,0.131,0.001,0.023,0,0,0
os2,3h2,1c4,0.001,0.186,0.0,0.018,0.01,0.01,0.033
os2,b25,1c4,0.001,0.22,0,0.491,0.123,0.121,0
1s3,eo,1c4,0,0,0,0.0,0,0,0.003
bo3,eo,1c4,0,0,0,0.0,0,0,0.003
1s3,14b,1c4,0,0,0,0,0,0,0.048
1s3,1h2,1c4,0.0,0.001,0.001,0.023,0.014,0.015,0.007
1s3,1ho,1c4,0.0,0.0,0.0,0.001,0.007,0.008,0.034
1s5,1h2,1c4,0.0,0.024,0.003,0.054,0.1,0.103,0.092
1s3,5e,1c4,0.0,0.0,0.0,0.084,0.095,0.1,0.113
bo3,5h4,1c4,0.0,0.0,0,0.027,0.012,0.012,0
25b,5h4,1c4,0.611,0.233,0.524,0.038,0.019,0.019,0
bo3,5e,1c4,0.0,0.0,0.0,0.098,0.036,0.035,0
3s1,3h4,1c4,0.0,0.003,0.0,0.006,0.071,0.07,0.046
25b,5e,1c4,0.38,0.153,0.466,0.137,0.055,0.055,0
bo3,1ho,1c4,0.0,0.0,0,0,0.003,0.003,0
bo3,1h2,1c4,0.0,0.0,0,0,0.005,0.005,0
3s1,5h4,1c4,0.0,0.002,0.0,0,0.119,0.118,0
5s1,5h4,1c4,0.001,0.045,0.004,0,0.227,0.225,0.165
3s1,5e,1c4,0.0,0.001,0,0,0,0,0
1s3,5h4,1c4,0.0,0.0,0.0,0,0,0,0
5s1,5e,1c4,0,0,0,0,0,0,0
1s5,1ho,1c4,0,0,0,0,0,0,0
5s1,25b,1c4,0,0,0,0,0,0,0
os2,1h2,1c4,0.0,0,0,0,0.015,0.015,0
3s1,3s1,1c4,0,0,0,0,0.089,0.088,0
os2,3h4,1c4,0,0,0,0,0,0,0.202
bo3,1s3,1c4,0,0,0,0,0,0,0.018
1e,1h2,1c4,0,0,0,0,0,0,0.021
os2,3ob,1c4,0,0,0,0,0,0,0.129
1s5,b25,1c4,0,0,0,0,0,0,0.004
1s5,3h2,1c4,0,0,0,0,0,0,0.005
5s1,3s1,1c4,0,0,0,0,0,0,0.069
1s3,1c4,1c4,0,0,0,0,0,0,0.008
3s1,3ob,1c4,0,0,0,0,0,0,0
