phi,theta
222.0,87.0
261.9,91.9
265.9,92.6
226.5,89.1
270.3,87.9
221.3,85.4
220.6,85.3
265.2,93.5
180.6,79.2
261.1,82.7
222.5,84.7
272.4,89.1
170.2,81.8
274.8,90.2
287.1,169.8
265.6,93.1
276.5,165.6
219.2,85.7
314.6,166.5
211.5,83.6
172.8,80.1
284.8,168.7
320.0,169.3
217.6,85.2
67.5,177.3
217.6,85.2
324.7,168.0
211.5,83.5
50.4,173.4
180.8,79.2
16.2,175.3
180.4,79.2
298.9,174.8
247.6,92.9
317.7,163.0
265.1,99.3
298.8,158.8
226.2,89.0
222.0,87.0
313.4,162.8
263.7,98.2
281.9,158.0
265.2,93.5
321.5,166.2
313.9,164.3
265.3,93.5
305.8,162.2
271.6,95.1
255.8,103.4
305.6,162.1
279.7,152.1
267.6,102.0
314.7,166.4
264.8,92.2
348.1,177.5
264.7,95.3
273.0,94.6
313.3,163.5
15.8,175.3
266.0,92.7
267.5,97.9
319.9,169.4
285.5,171.5
197.3,83.1
285.6,171.4
172.2,82.0
217.5,85.4
174.9,80.5
174.1,81.3
218.7,84.7
161.5,79.6
85.2,85.4
348.1,177.5
166.7,80.6
152.6,85.2
95.2,96.7
158.2,82.6
78.4,83.3
78.5,84.8
170.4,79.5
166.6,79.0
78.2,83.9
207.4,79.8
80.2,88.9
170.3,79.5
80.2,85.7
79.1,85.0
168.7,81.5
79.4,88.5
337.8,1.5
117.4,100.0
184.4,81.4
166.6,79.0
43.8,84.9
160.0,84.8
88.5,173.5
46.5,7.2
83.2,83.9
51.6,6.6
81.4,83.8
100.2,2.4
35.9,84.0
100.7,2.4
170.1,78.9
14.3,1.6
161.6,79.4
64.8,171.2
173.0,80.5
321.1,165.3
345.0,88.6
15.9,175.3
19.8,89.4
317.7,163.0
328.4,94.0
323.4,164.6
328.4,94.0
314.5,166.5
350.1,89.5
324.6,168.0
8.8,89.4
321.8,168.1
345.8,89.2
351.2,88.8
328.6,169.1
357.1,89.8
312.2,167.8
20.0,90.8
64.2,171.2
49.7,172.9
43.9,84.8
50.3,173.4
23.8,90.5
223.2,85.3
310.0,6.5
180.8,79.2
287.6,3.9
343.7,1.5
201.8,80.2
315.8,1.8
205.5,80.6
2.1,3.2
273.3,91.7
320.7,4.6
272.3,89.1
64.9,171.2
170.2,81.8
50.7,173.4
180.6,79.2
348.3,177.5
78.5,84.8
160.1,84.8
55.2,173.8
34.7,174.8
160.0,84.8
159.0,84.3
299.0,174.7
296.1,174.0
162.4,84.1
128.2,174.8
110.1,101.5
118.0,100.0
128.4,174.8
211.5,83.5
314.8,166.4
128.4,174.8
37.8,84.0
49.5,172.9
43.9,84.8
102.8,165.7
56.6,84.9
295.8,174.1
172.3,82.0
180.4,79.2
50.2,173.4
348.8,177.5
80.2,85.7
77.8,176.5
77.1,87.1
64.7,171.2
44.0,84.8
14.0,1.6
77.3,83.8
67.4,2.4
81.5,84.1
86.0,83.2
166.5,79.1
68.5,2.3
86.0,83.1
90.4,85.6
160.6,83.4
79.8,2.1
172.1,82.0
84.0,82.9
205.2,81.8
82.2,82.8
208.1,82.1
340.3,90.3
274.8,90.2
281.4,93.3
332.6,91.7
279.7,92.5
331.1,91.9
275.3,94.7
328.4,94.0
273.9,88.7
316.4,89.6
273.9,89.1
350.0,89.6
277.1,91.7
351.1,88.8
273.9,89.1
8.8,89.4
162.5,81.3
207.5,79.8
222.9,86.7
169.4,80.7
67.1,2.3
43.9,84.8
47.4,83.0
55.4,4.4
56.4,84.9
67.7,2.4
59.0,82.9
13.9,1.4
48.9,172.9
341.9,89.1
344.9,88.6
64.9,171.1
294.5,160.4
328.3,94.1
68.0,2.3
166.6,79.0
161.6,79.6
12.3,2.6
337.5,2.7
207.6,79.8
60.4,4.0
205.2,81.8
214.0,82.9
166.5,79.0
314.8,2.7
214.0,82.9
30.2,87.9
356.4,171.8
341.0,4.9
273.9,89.6
329.0,92.6
1.2,4.7
329.1,92.6
31.5,3.5
13.8,1.6
320.6,89.5
345.0,88.6
19.9,90.8
16.6,90.9
328.4,94.1
20.1,88.8
338.5,91.3
13.6,88.8
331.0,92.4
28.0,6.6
277.8,93.1
20.0,90.7
37.1,1.2
345.8,89.2
12.1,2.6
11.3,89.5
65.3,1.4
332.5,91.7
38.0,6.4
352.0,2.4
344.9,88.6
338.1,87.9
342.5,1.5
352.4,2.4
340.2,90.3
329.9,4.7
351.1,88.8
18.1,5.5
277.3,92.3
327.0,92.0
51.1,8.0
339.0,90.8
13.6,1.6
23.7,87.9
359.3,6.4
331.0,91.8
32.1,5.1
337.3,90.3
44.4,2.8
43.9,84.8
67.5,2.3
78.5,84.8
79.3,2.0
22.4,86.0
13.1,2.6
78.7,2.0
39.0,84.6
12.2,2.6
38.7,83.4
77.7,86.6
342.5,5.5
43.8,84.9
20.0,4.0
320.4,4.7
32.4,82.3
66.1,83.6
8.6,4.1
0.2,5.5
23.7,87.9
39.3,84.6
79.6,2.0
17.3,88.3
67.9,2.3
38.0,83.8
14.0,1.6
341.5,4.9
70.8,85.4
66.8,84.0
15.2,3.5
81.7,84.1
1.1,3.3
345.8,89.2
17.4,4.1
18.8,2.7
344.9,89.1
340.4,90.3
352.4,2.4
307.4,89.5
51.3,6.5
47.7,5.2
279.6,93.1
352.8,89.3
270.9,91.6
12.3,90.1
271.7,88.0
341.9,89.1
347.7,177.5
201.8,80.2
8.9,4.2
226.5,89.1
225.7,87.7
252.4,86.3
249.4,87.5
15.9,175.3
64.5,171.2
49.9,173.4
313.9,164.3
317.7,163.0
49.5,172.9
348.1,177.5
357.2,171.9
14.1,172.1
285.7,171.4
314.8,166.4
324.7,168.0
319.9,169.4
327.1,170.3
316.9,168.6
279.8,152.2
201.9,80.2
205.6,80.6
214.5,82.7
273.4,88.7
274.8,90.1
272.0,88.6
273.9,89.1
265.2,91.5
273.0,89.8
272.5,88.8
277.8,89.8
264.8,92.2
256.7,81.6
272.4,89.1
271.8,88.0
270.3,87.9
265.9,92.6
261.1,82.7
261.9,92.0
276.3,89.7
270.9,91.7
268.2,91.5
118.0,100.0
117.4,100.0
110.1,101.5
161.5,79.6
43.9,84.8
39.0,84.6
22.4,86.0
12.7,2.7
66.9,2.3
337.1,2.7
13.8,1.6
79.6,2.0
80.2,85.7
78.5,84.8
78.3,83.9
81.7,84.1
85.2,85.4
80.9,85.0
82.9,89.5
80.8,84.8
80.2,88.9
77.3,83.8
83.2,83.9
77.7,86.6
78.6,83.3
56.4,84.9
51.1,84.0
47.5,83.0
307.4,89.5
309.3,87.7
314.2,88.5
166.5,79.1
180.4,79.2
170.0,78.9
351.2,88.8
350.0,89.6
345.8,89.2
328.3,94.0
329.0,92.6
340.2,90.3
332.6,91.7
339.0,90.7
341.8,89.1
