method,REFERENCE,DFTB,AM1,PM3,PM3MM,PM6
4c1,n/a,n/a,n/a,n/a,n/a,9.246972623999982
4h3,8.947352680430493,7.054336345068897,4.25288331492751,3.742328468558542,3.7417009595585236,7.3368352279999876
2e,n/a,n/a,n/a,4.468731102515945,4.468103593515927,n/a
e3,7.198556336253748,7.205925684635134,4.253919018971786,4.649030363535056,4.648402854535038,n/a
4e,12.299999691807999,6.478316873361959,4.365724601194839,3.477449136485475,3.476821627485456,6.749722351920291
e1,14.429255440080173,8.090431389827769,7.772040826992933,5.312560651249843,5.311933142249823,8.420636064519178
4h5,12.999999786506,8.843633434068101,4.3468924331578,4.173869974394896,4.173242465394877,n/a
oh1(0),14.305493821578565,7.983359252153086,6.4862505506092765,7.017495486442094,7.016867977442075,7.888903860021343
e5,15.088949946017514,7.8539036191581895,4.863768686412939,4.301951078368219,4.3013235693682,8.434975978000006
oh1(1),13.715057011152444,7.975779587365573,6.936206712454309,6.3377437825254015,6.337116273525384,8.660251709000004
oh5,14.655025821895986,7.677323385377418,5.782845515023241,4.558025246515499,4.5573977375154815,8.145945757548578
2h1,13.142879780770354,n/a,5.314804288646514,6.119258492148162,6.118630983148145,8.102250360525847
bo3,9.10556021998282,11.24245124399975,4.700637076924746,5.00814932900001,5.007521819999992,3.645864753565649
1s3,10.392612917817337,7.339345263995915,n/a,5.00814932900001,5.007521819999992,4.649622331340177
25b,12.510687409348884,8.082360113006972,5.452963953398275,4.530208416814154,4.529580907814135,7.972788225259034
1s5,n/a,n/a,4.136539328000026,n/a,n/a,4.750945419634609
3ob,9.893851940284057,6.572529265996855,5.581692555000027,5.26166296500002,5.261035456000002,5.820376785426156
b14,n/a,8.086708482999502,5.113570841000011,4.232934801326315,4.232307292326296,n/a
b25,10.14083369809477,5.086167455019823,3.6627293432896932,5.497606349000012,5.4969788399999935,6.453335932575996
os2,10.021989877758063,n/a,3.5316206520000137,4.164782848206991,4.164155339206974,5.595237694634743
3s1,n/a,n/a,n/a,6.170295997000022,6.169668488000005,7.969751184862242
14b,8.983871273358035,6.471957750527576,3.6278056637902463,4.88578507400001,4.885157564999991,4.479981381482004
2so,14.041487229829245,9.809759284341121,4.837486379294929,5.988517030007418,5.987889521007397,3.7378874059332423
5s1,13.497085647299375,10.364738948908341,n/a,6.752539099558747,6.751911590558731,n/a
5h4,13.604344561607276,10.366648763557631,6.55746905000001,6.648507605829556,6.647880096829537,n/a
3h4,14.407446532965716,9.190100920210611,6.78822212616574,6.7678821381417045,6.767254629141688,6.313775997473429
3h2,10.79112702873161,8.52722994937753,5.252165816313533,7.91180256433206,7.911175055332041,5.671743705178083
e2,13.01750692754619,9.49733226753514,4.911752578399978,6.454359214271476,6.453731705271457,6.366489584910674
eo,n/a,n/a,7.6883282867006635,n/a,n/a,4.856336564789482
1ho,16.910869635233325,10.565262841762546,n/a,9.077658924160147,9.077031415160132,4.661278616292487
1h2,12.68054599987677,8.956728811515665,5.18706737284605,6.152141542598398,6.151514033598381,4.609573816478716
1e,13.388731458273696,9.224426142071708,5.150124304535463,6.303751628368578,6.3031241193685625,4.3308198702738085
5ho,18.764252942596098,10.734168953998926,8.566759386532604,7.306714796000027,7.306087287000009,6.38804161999998
5e,15.267041560007886,9.220645848945187,5.23454674867549,5.613777330058158,5.613149821058139,n/a
1c4,n/a,n/a,n/a,n/a,n/a,5.722882079999976
