LM1,TS,LM2,REFERENCE,DFTB,AM1,PM3,PM3MM,PM6
4c1,e5,1s5(1),0.0,0.025,0.004,0.03,0.034,0
4c1,e5,os2,0.0,0,0.004,0.005,0.006,0
4c1,e5,b25,0.001,0,0.096,0.053,0.065,0
4c1,e5,1s5(0),0,0.033,0.043,0.025,0.011,0
4c1,e3,bo3,0.134,0.156,0.012,0.006,0.006,0
4c1,4h5,1s5(1),0.0,0.005,0.009,0.037,0.043,0
4c1,4h5,1s5(0),0,0.006,0.104,0.031,0.014,0
4c1,4h5,bo3,0,0,0.01,0,0,0
4c1,4h5,b25,0,0,0.231,0.066,0.081,0
4c1,e1,5s1,0.002,0,0.003,0.069,0.079,0
4c1,oh1(1),5s1,0.007,0,0.013,0.012,0.014,0
4c1,2h1,5s1,0.018,0,0.205,0.018,0.02,0
4c1,oh5,1s5(1),0.0,0.034,0.001,0,0,0
4c1,4h3,bo3,0.007,0.202,0.012,0.026,0.03,0.184
4c1,oh5,b25,0.003,0.014,0.02,0,0,0
4c1,oh5,os2,0.0,0.002,0.001,0.003,0.004,0
4c1,oh5,1s5(0),0,0.045,0.009,0,0,0
4c1,oh1(0),3s1(1),0.0,0.012,0.001,0.0,0.0,0
4c1,oh1(1),3s1(1),0.0,0.013,0.0,0.0,0.0,0
4c1,oh1(1),3s1(0),0.0,0.028,0.174,0.003,0.004,0
4c1,4h3,1s3,0.017,0.023,0.004,0.008,0.01,0
4c1,4e,1s3,0,0.061,0.004,0.013,0.016,0
4c1,4e,14b,0.0,0.22,0.013,0,0,0
4c1,4e,bo3,0,0,0.01,0,0,0.497
4c1,4h3,14b,0.109,0.083,0.016,0,0,0
4c1,oh5,3s1(1),0.0,0.021,0,0.007,0.008,0
4c1,e1,3s1(1),0,0.01,0,0.002,0.002,0
4c1,4h5,14b,0,0.004,0,0.109,0.007,0
4c1,4h5,1s3,0,0.001,0,0,0,0
4c1,2h1,25b,0,0,0,0.0,0.0,0
4c1,e1,25b,0,0,0,0.001,0.001,0
4c1,2e,25b,0,0,0,0.005,0.005,0
4c1,e5,3s1(1),0,0,0,0.011,0.013,0
4c1,e1,3s1(0),0.0,0,0,0.019,0.022,0
4c1,oh1(0),os2,0.0,0,0,0.0,0.0,0
4c1,e1,os2,0,0,0,0.001,0.001,0
4c1,oh1(1),os2,0.0,0,0,0.0,0.0,0
4c1,oh1(1),25b,0,0,0,0.0,0.0,0
4c1,e3,e3,0,0,0,0.143,0.164,0
4c1,2e,bo3,0,0,0,0.008,0.009,0
4c1,2e,5s1,0,0,0,0.287,0.33,0
4c1,4c1,3s1(1),0,0,0,0,0,0.094
4c1,4c1,os2,0,0,0,0,0,0.083
4c1,e5,14b,0,0,0,0,0,0.022
4c1,e5,1s3,0,0,0,0,0,0.039
4c1,e1,bo3,0,0,0,0,0,0.03
4c1,2h1,bo3,0.0,0,0,0,0,0.051
4c1,25b,5s1,0.051,0,0,0,0,0
4c1,2h1,3s1(0),0.001,0,0,0,0,0
4c1,2h1,3s1(1),0.001,0,0,0,0,0
4c1,4h3,1s5(1),0.232,0,0,0,0,0
4c1,bo3,1s3,0.013,0,0,0,0,0
4c1,e3,1s3,0.321,0,0,0,0,0
4c1,bo3,14b,0.083,0,0,0,0,0
4c1,oh1(0),1s5(1),0.0,0,0,0,0,0
4c1,oh1(0),3s1(0),0.0,0,0,0,0,0
4c1,oh5,1s3,0.0,0,0,0,0,0
