method,REFERENCE,DFTB,AM1,PM3,PM3MM,PM6
4c1,0.01114,0.0062,0.01088,0.01266,0.01266,0.05408
e3,n/a,n/a,n/a,0.08497,0.08497,n/a
4e,n/a,n/a,n/a,n/a,0.37585,n/a
e5,n/a,n/a,n/a,0.50768,0.50768,n/a
bo3,0.04478,0.03146,0.03355,0.07051,0.07231,0.0452
1s3,0.0404,0.02911,0.03595,0.03736,0.03729,0.07814
3s1,0.07148,0.07684,0.16754,0.06879,0.06879,0.2243
5s1,0.01462,0.01611,0.04223,0.06481,0.06481,0.03931
1s5,0.02541,0.02644,0.01978,0.04527,0.09307,0.04323
os2,0.04358,0.02601,0.06996,0.04737,0.04766,0.14799
25b,0.03342,0.27006,0.09713,0.07194,0.06977,0.09121
5e,n/a,n/a,0.13071,n/a,n/a,0.14154
1e,n/a,0.48296,n/a,n/a,n/a,0.31153
e2,n/a,n/a,n/a,0.23216,0.23216,n/a
5h4,n/a,n/a,0.24061,0.38423,0.38423,0.27004
1h2,n/a,0.40524,0.361,0.31154,n/a,0.17729
3h2,n/a,n/a,n/a,0.37272,0.37272,n/a
1c4,0.03266,0.01867,0.02235,0.03645,0.03488,0.04923
