method,REFERENCE,B3LYP,DFTB,AM1,PM3,PM3MM,PM6
4c1,0.44055,4.09243,2.74212,2.83797,2.23616,2.23565,6.1887
e3,n/a,n/a,n/a,n/a,0.0,0.0,n/a
bo3,0.62546,3.28679,2.3178,2.88886,2.2046,2.18301,2.13096
1s3,1.4898,2.17318,1.82588,3.55161,2.43124,2.49446,2.51773
3s1,1.71216,2.64864,3.44219,4.18626,4.01801,4.0186,3.22065
5s1,0.44777,1.74002,4.11995,4.83052,5.24309,5.24371,2.95694
1s5,0.44122,2.1707,2.40466,3.70036,3.5068,3.63504,2.89458
os2,1.80085,2.66637,3.29306,4.40405,3.59714,3.58045,2.22525
25b,0.49352,1.54354,6.07656,9.86371,10.42596,10.34229,11.1776
5e,n/a,n/a,n/a,0.0,n/a,n/a,0.0
1e,n/a,n/a,n/a,n/a,n/a,n/a,0.0
e2,n/a,n/a,n/a,n/a,0.0,0.0,n/a
5h4,n/a,n/a,n/a,0.0,0.0,0.0,0.0
1h2,n/a,n/a,n/a,n/a,0.0,n/a,0.0
3h2,n/a,n/a,n/a,n/a,0.0,0.0,n/a
1c4,0.36641,2.64122,2.3191,4.16421,3.39941,3.40907,5.42551
