method,REF,B3LYP,DFTB,AM1,PM3,PM3MM,PM6
4c1,0.267441090164849,0.42492619030017537,0.5291181710801197,0.6671821011972684,0.6377779296211556,0.637352473884244,5.655291692572683
e3,n/a,n/a,n/a,n/a,4.168542287000006,4.1679147779999886,n/a
bo3,5.251533445002961,5.245840608016579,4.50151999957222,1.714321168305475,2.2736559416748774,2.2628327974498528,2.7324593794188177
1s3,5.8121044547847704,6.262831180462246,3.2590818896933844,1.161243807344896,1.6467631724345206,1.666114235553735,2.8838701964998967
3s1,7.986812171480028,8.600731838280756,3.790454223322286,2.1166151466648375,2.651600843372463,2.6509733343724444,4.622016254106255
5s1,9.934052210370549,10.106230634547485,5.195276595090732,4.452338528755827,3.502171443020101,3.501543934020083,6.9508357177941615
1s5,7.334467537922203,8.25178794084561,4.072734956388797,1.6483005557892987,2.8961485904828557,2.30313605326394,3.2133179330665325
os2,6.939545089977373,8.365264945805158,2.540241224921979,1.7218097872991316,1.9076841864069225,1.9012991124555545,4.261039622560637
25b,13.460070506319889,11.176467503454951,7.2074345719788635,1.8169380054049167,1.9676471330588494,1.9699971119774304,2.232150928147132
5e,n/a,n/a,n/a,3.239201458,n/a,n/a,0.10340833252785261
1e,n/a,n/a,n/a,n/a,n/a,n/a,2.661265668999997
e2,n/a,n/a,n/a,n/a,7.331255661006057,7.330628152006039,n/a
5h4,n/a,n/a,n/a,4.127126693,6.68297085000003,6.682343341000013,2.4924657479999848
1h2,n/a,n/a,n/a,n/a,7.451669375000016,n/a,3.021983354111378
3h2,n/a,n/a,n/a,n/a,6.768312074000011,6.7676845649999935,n/a
1c4,7.46151887996334,7.617566058098331,3.86303679112248,1.7500189692854669,2.665358523426829,2.694366454431161,1.553589769359118
