method,REF,B3LYP,DFTB,AM1,PM3,PM3MM,PM6
4h3,0.01897,0.02498,0.12931,0.0645,0.12344,0.12344,0.39767
e3,0.0142,0.01749,0.09482,0.11801,0.11005,0.11005,0.53564
4e,0.20969,0.2013,0.13099,0.08617,0.12461,0.12461,0.10936
4h5,0.04456,0.06248,0.23539,0.07203,0.06888,0.06888,0.57674
oh1,0.0284,0.02655,0.06404,0.09344,0.0443,0.0443,0.2657
2h1,0.07785,0.06592,n/a,0.24061,0.12215,0.12215,0.18114
oh5,0.04132,0.06726,0.045,0.09983,0.16404,0.16404,0.21196
bo3,0.03728,0.08481,0.17152,0.15796,0.0916,0.0916,0.3325
1s3,0.06272,0.09187,0.11331,n/a,n/a,n/a,0.29359
25b,0.0299,0.03085,0.04312,0.10623,0.114,0.114,0.21886
1s5,n/a,n/a,n/a,n/a,n/a,n/a,0.11512
3ob,0.02714,0.02763,0.12008,n/a,0.1148,0.1148,0.1231
b14,n/a,n/a,0.18997,0.08712,0.17108,0.17108,n/a
b25,0.033,0.03707,0.09434,0.06629,0.12784,0.12784,0.15128
3s1,n/a,n/a,n/a,n/a,0.36549,0.36549,0.1504
14b,0.04824,0.10758,0.08895,0.0698,0.20801,0.20801,0.11663
5h4,0.05223,0.05703,0.16125,0.21821,0.10888,0.10888,0.39491
3h4,0.05825,0.05065,0.06467,0.23025,0.15376,0.15376,0.17944
3h2,0.01924,0.02895,0.02944,0.05359,0.14357,0.14357,0.18884
5e,0.04885,0.06825,0.09262,0.09041,0.13635,0.13635,0.30408
eo,n/a,n/a,n/a,0.10238,n/a,n/a,0.13608
1ho,0.11194,0.10632,0.09774,0.33266,0.15644,0.15644,0.21768
1h2,0.02287,0.02498,0.03176,0.04887,0.08149,0.08149,0.13382
1c4,n/a,n/a,n/a,n/a,n/a,n/a,0.36923
