method,REFERENCE,B3LYP,DFTB,AM1,PM3,PM3MM,PM6
4h3,2.33237,1.96762,1.92141,4.09623,3.84691,3.8475,1.64303
e3,2.43144,1.60201,0.4821,2.33322,2.29839,2.29901,0.12923
4e,2.67292,1.57012,2.85756,5.04777,4.78893,4.78954,2.98701
4h5,1.80543,0.88458,5.03908,7.33182,8.04415,8.04477,4.76772
oh1,1.39103,0.94833,5.03752,6.29421,6.50782,6.50845,5.23728
2h1,1.21489,1.33209,n/a,6.7354,6.53752,6.53814,4.74435
oh5,1.58281,0.84154,5.90726,7.03025,8.82593,8.82655,7.05296
bo3,1.06266,2.19146,2.34191,4.09938,3.89239,3.89302,4.1175
1s3,1.73824,1.37872,3.05327,n/a,n/a,n/a,4.97352
25b,1.95774,1.56625,3.35845,6.07681,7.11327,7.11389,4.54356
1s5,n/a,n/a,n/a,n/a,n/a,n/a,0.0
3ob,3.64371,3.41373,3.32157,n/a,3.89278,3.89339,3.16605
b14,n/a,n/a,0.0,0.0,0.0,0.0,n/a
b25,1.89071,1.82954,4.71916,5.65942,3.79333,3.79391,3.97946
3s1,n/a,n/a,n/a,n/a,0.0,0.0,0.0
14b,0.88405,1.17399,2.38809,4.23746,4.09809,4.09871,3.79241
5h4,2.30047,2.39559,3.72235,7.7324,7.3384,7.33902,5.75948
3h4,0.1712,1.10818,4.94723,7.61906,6.96647,6.9671,7.92852
3h2,2.00904,1.97047,2.02315,4.99616,3.22067,3.22128,4.77842
5e,2.50828,2.4632,3.64584,7.7691,7.88625,7.88687,9.27559
eo,n/a,n/a,n/a,0.0,n/a,n/a,0.0
1ho,1.53522,1.29947,5.00501,9.12712,8.09007,8.09069,10.65671
1h2,2.6288,2.64708,3.00068,6.23014,5.44337,5.44399,7.62709
1c4,n/a,n/a,n/a,n/a,n/a,n/a,0.0
