method,REFERENCE,B3LYP,DFTB,AM1,PM3,PM3MM,PM6
4h3,8.979865305580331,8.125635800617527,6.650349137229832,4.323304121936327,3.758077946075715,3.757450437075697,7.3368352279999876
e3,7.2076187342394284,6.782230442960738,7.205925684635134,4.318085911710564,4.649030363535056,4.648402854535038,7.3368352279999876
4e,9.887017647820304,9.886581395688104,6.559750942067751,4.453051627753693,3.7774557418909356,3.7768282328909177,6.749722351920291
4h5,13.202697754035517,12.745736783284123,7.8539036191581895,4.4183467618943055,4.174390055347986,4.173762546347969,8.434975978000006
oh1,13.817464268200656,13.391861200934926,8.020831189814905,6.633757805454928,6.408978621367586,6.408351112367568,8.560270727495682
2h1,13.189217332576526,12.31521845823434,n/a,5.155213412596106,6.119258492148162,6.118630983148145,8.420636064519178
oh5,14.73150320648164,15.026146911570287,7.706535056108409,5.979007038635176,4.270317293160912,4.269689784160894,5.487156077239969
bo3,8.90054080022317,9.415299101126376,11.24245124399975,4.700637076924746,5.00814932900001,5.007521819999992,3.645864753565649
1s3,10.392612917817337,9.745391286169493,7.339345263995915,n/a,n/a,n/a,4.649622331340177
25b,12.519129825181365,11.776417734490678,8.132063080340536,5.452963953398275,4.5908276782201725,4.590200169220155,7.972788225259034
1s5,n/a,n/a,n/a,n/a,n/a,n/a,5.85151716287023
3ob,9.894101526595842,10.656011826965038,6.572529265996855,n/a,5.356695188211814,5.3560676792117965,5.836914840003544
b14,n/a,n/a,8.086708482999502,5.113570841000011,4.232934801326315,4.232307292326296,n/a
b25,10.159331995679494,10.33866038004604,5.086167455019823,3.663413356671392,4.447088245385942,4.446460736385922,5.771720811440041
3s1,n/a,n/a,n/a,n/a,6.170295997000022,6.169668488000005,7.969751184862242
14b,8.983871273358035,9.841077090680354,6.471957750527576,3.6556696897571195,4.88578507400001,4.885157564999991,4.479981381482004
5h4,13.659819909981266,13.72550866336287,9.398865344499741,5.2083387027599946,5.532709939650582,5.532082430650564,7.900338309999994
3h4,14.407446532965716,13.194421036288988,9.190100920210611,6.78822212616574,6.928174584729655,6.927547075729638,6.300947775220227
3h2,10.851251432703831,11.508465670321359,8.546791689678482,5.254630769436841,6.596802737549282,6.596175228549262,5.779429021419799
5e,14.23184990454148,12.998075060590127,9.435991553086335,4.93333968030502,5.654784489509122,5.654156980509104,3.7604983470297233
eo,n/a,n/a,n/a,7.6883282867006635,n/a,n/a,5.652105463675907
1ho,16.18979904415592,15.815876475409373,10.365348263321346,7.019315674000018,6.591060185782991,6.590432676782974,4.661278616292487
1h2,12.704190496950577,12.736395360079715,8.998875975118892,5.271753993616703,6.325054783868275,6.324427274868256,4.577697761871491
1c4,n/a,n/a,n/a,n/a,n/a,n/a,5.722882079999976
