LM1,TS,LM2,REFERENCE,B3LYP,DFTB,AM1,PM3,PM3MM,PM6
4c1,4h5,1s5,0.0,0.0,0.044,0.125,0.063,0.063,0
4c1,oh5,1s5,0.0,0.0,0.057,0.009,0,0,0
4c1,4h5,os2,0.0,0.0,0,0.125,0.063,0.063,0
4c1,e3,bo3,0.457,0.452,0.132,0.019,0.028,0.028,0
4c1,4h5,bo3,0,0,0,0.125,0,0,0
4c1,oh1,5s1,0.0,0.0,0,0.003,0.001,0.001,0
4c1,2h1,5s1,0.0,0.0,0,0.0,0.002,0.002,0
4c1,4h3,bo3,0.023,0.047,0,0.163,0.131,0.131,0.239
4c1,oh5,os2,0.0,0.0,0.057,0.009,0.054,0.054,0
4c1,oh1,3s1,0.0,0.0,0.033,0.003,0.001,0.001,0
4c1,oh1,os2,0.0,0.0,0,0.003,0.001,0.001,0
4c1,4h3,1s3,0.023,0.047,0.169,0.163,0.131,0.131,0
4c1,4e,1s3,0.0,0,0.451,0.126,0.185,0.185,0
4c1,4e,bo3,0,0,0,0.126,0,0,0.645
4c1,b25,os2,0.003,0.001,0,0,0,0,0
4c1,2h1,3s1,0.0,0.0,0,0,0,0,0
4c1,oh5,3s1,0.0,0.0,0.057,0,0,0,0
4c1,25b,5s1,0.0,0.0,0,0,0,0,0
4c1,e3,1s3,0.457,0.452,0,0,0,0,0
4c1,25b,3s1,0,0.0,0,0,0,0,0
4c1,4e,1s5,0.0,0.001,0,0,0,0,0
4c1,2h1,25b,0,0,0,0,0.002,0.002,0
4c1,2e,25b,0,0,0,0,0.038,0.038,0
4c1,4h5,3s1,0,0,0,0,0.063,0.063,0
4c1,4h5,e5,0,0,0,0,0.063,0.063,0
4c1,4h5,1s3,0,0,0,0,0.063,0.063,0.037
4c1,oh1,25b,0,0,0,0,0.001,0.001,0
4c1,e3,e3,0,0,0,0,0.028,0.028,0
4c1,2e,bo3,0,0,0,0,0.038,0.038,0
4c1,2e,5s1,0,0,0,0,0.038,0.038,0
4c1,4c1,os2,0,0,0,0,0,0,0.01
4c1,2h1,bo3,0.0,0,0,0,0,0,0.038
4c1,oh1,bo3,0,0,0,0,0,0,0.03
4c1,4h3,1s5,0.023,0,0,0,0,0,0
4c1,3ob,1s5,0.005,0,0,0,0,0,0
4c1,3ob,3s1,0.005,0,0,0,0,0,0
4c1,3ob,os2,0.005,0,0,0,0,0,0
4c1,oh5,1s3,0.0,0,0,0,0,0,0
