LM1,TS,LM2,REFERENCE,B3LYP,DFTB,AM1,PM3,PM3MM,PM6
4c1,4h5,1s5,0.0,0.0,0.04,0.125,0.074,0.074,0
4c1,oh5,1s5,0.0,0.0,0.051,0.009,0,0,0
4c1,4h5,os2,0.0,0.0,0,0.125,0.074,0.074,0
4c1,4h3,bo3,0.023,0.044,0,0.147,0.149,0.149,0.036
4c1,e3,bo3,0.452,0.429,0.119,0.148,0.033,0.033,0.036
4c1,4h5,bo3,0,0,0,0.125,0,0,0
4c1,oh1,5s1,0.0,0.0,0,0.003,0.002,0.002,0
4c1,2h1,5s1,0.0,0.0,0,0.036,0.003,0.003,0
4c1,oh5,os2,0.0,0.0,0.051,0.009,0.063,0.063,0.819
4c1,oh1,3s1,0.0,0.0,0.03,0.003,0.002,0.002,0
4c1,oh1,os2,0.0,0.0,0,0.003,0.002,0.002,0
4c1,4h3,1s3,0.023,0.044,0.304,0.147,0.149,0.149,0
4c1,4e,1s3,0.005,0.002,0.354,0.118,0.145,0.145,0
4c1,4e,bo3,0,0,0,0,0,0,0.097
4c1,b25,os2,0.003,0.001,0,0,0.047,0.047,0
4c1,3ob,1s5,0.005,0.001,0,0,0,0,0
4c1,2h1,3s1,0.0,0.0,0,0,0,0,0
4c1,oh5,3s1,0.0,0.0,0.051,0,0.063,0.063,0
4c1,3ob,3s1,0.005,0.001,0,0,0,0,0
4c1,25b,5s1,0.0,0.0,0,0,0.037,0.037,0
4c1,3ob,os2,0.005,0.001,0,0,0,0,0
4c1,e3,1s3,0.452,0.429,0,0,0,0,0
4c1,25b,3s1,0,0.0,0,0,0,0,0
4c1,4h3,1s5,0.023,0.044,0,0,0,0,0
4c1,4e,1s5,0.005,0.002,0,0,0,0,0
4c1,2h1,25b,0,0,0,0,0.003,0.003,0
4c1,b25,1s5,0,0,0,0,0,0,0
4c1,4h5,3s1,0,0,0,0,0.074,0.074,0
4c1,b25,3s1,0,0,0,0,0.047,0.047,0
4c1,4h5,1s3,0,0,0,0,0,0,0.006
4c1,oh1,25b,0,0,0,0,0.002,0.002,0
4c1,e3,e3,0,0,0,0,0.033,0.033,0
4c1,2h1,bo3,0.0,0,0,0,0,0,0.006
4c1,oh1,bo3,0,0,0,0,0,0,0
4c1,25b,bo3,0.0,0,0,0,0,0,0
4c1,oh5,1s3,0.0,0,0,0,0,0,0
