pathway,REFERENCE
1s5_0_14b-14b,1
14b_1s5_1-14b,1
bo3_1s5_0-14b,1
bo3_1s5_1-14b,1
1s5_1_1c4-1e,1
14b_1c4-1e,1
1s3_1c4-1e,1
bo3_1c4-1e,1
1s5_0_1c4-1e,1
1s5_1_1c4-1h2,1
14b_1c4-1h2,1
1s5_0_1c4-1h2,1
1s5_1_1h2-1h2,1
1s3_1c4-1ho,1
bo3_1c4-1ho,1
bo3_14b-1s3,1
bo3_1s3-1s3,1
bo3_5s1-25b,1
bo3_1c4-2so,1
bo3_25b-25b,1
1s3_5s1-25b,1
4c1_5s1-25b,1
bo3_25b-2so,1
1s3_25b-2so,1
bo3_3s1_0-25b,1
4c1_5s1-2h1,1
4c1_3s1_0-2h1,1
4c1_3s1_1-2h1,1
4c1_bo3-e3,1
os2_1c4-3h2,1
3s1_1_1c4-3h4,1
3s1_1_1c4-3h2,1
os2_1c4-e2,1
3s1_0_1c4-3h4,1
4c1_14b-4e,1
4c1_bo3-4h3,1
4c1_1s3-4h3,1
4c1_1s5_1-4h3,1
4c1_1s5_1-4h5,1
5s1_1c4-5h4,1
bo3_1c4-5e,1
25b_1c4-5e,1
1s3_1c4-5e,1
3s1_0_1c4-5e,1
3s1_0_1c4-5h4,1
bo3_1c4-5ho,1
3s1_0_1c4-5s1,1
4c1_bo3-2h1,1
1s5_1_os2-b25,1
b25_1s5_1-b25,1
3s1_1_1s5_1-b25,1
bo3_1s3-bo3,1
4c1_3s1_0-oh1_1,1
4c1_3s1_0-e1,1
4c1_1s3-e3,1
bo3_14b-bo3,1
4c1_14b-4h3,1
3s1_1_1c4-5s1,1
4c1_1s5_1-e5,1
4c1_os2-e5,1
4c1_b25-e5,1
3s1_1_os2-3ob,1
4c1_1s5_1-oh1_0,1
4c1_3s1_1-oh5,1
4c1_os2-oh1_0,1
4c1_os2-oh5,1
4c1_1s5_1-oh5,1
4c1_b25-oh5,1
4c1_3s1_1-oh1_0,1
4c1_5s1-oh1_1,1
4c1_3s1_0-oh1_0,1
4c1_3s1_1-oh1_1,1
4c1_os2-oh1_1,1
1s5_1_os2-os2,1
3s1_1_1s5_1-os2,1
4c1_1s3-oh5,1
