pathway,REFERENCE,DFTB,AM1,PM3,PM3MM,PM6
0_17-5,2,2,7,5,5,0
0_17-15,0,0,1,0,0,0
0_18-5,3,0,1,4,4,0
15_32-20,1,1,4,0,0,0
0_13-3,4,2,2,6,6,0
0_13-5,0,0,1,0,0,0
18_32-20,11,11,9,6,6,1
0_16-6,7,0,1,1,1,0
0_16-7,3,0,1,1,1,0
14_32-22,0,0,3,0,0,2
13_32-22,0,0,2,0,0,2
13_14-9,2,1,2,1,1,0
13_16-11,9,2,5,4,4,0
0_17-8,3,5,3,0,0,0
14_32-17,0,0,1,0,0,3
14_32-23,5,6,1,4,4,2
14_32-24,7,4,7,3,3,2
17_32-24,14,15,7,3,3,2
0_13-1,1,0,6,1,1,1
14_32-21,1,6,2,1,1,0
13_27-25,0,0,2,0,0,0
13_32-25,0,0,1,0,0,0
19_32-18,0,1,3,6,6,0
0_18-8,10,20,4,4,4,0
0_15-6,15,6,5,7,7,0
0_18-6,4,0,1,2,2,0
17_18-15,8,0,2,0,0,1
17_18-12,3,1,1,0,0,0
0_14-1,5,4,3,5,5,0
13_17-5,0,0,1,0,0,0
14_17-17,5,4,4,1,1,4
13_17-17,2,0,1,0,0,0
13_32-21,11,5,4,7,7,0
0_14-4,1,3,5,4,4,0
0_13-4,0,0,3,0,0,3
15_32-19,4,4,2,2,2,2
15_19-14,0,0,1,0,0,0
14_30-24,0,0,1,0,0,0
14_16-11,3,3,1,0,0,0
13_16-2,0,0,1,0,0,0
13_16-21,0,0,1,0,0,0
13_22-21,0,0,2,0,0,2
13_19-21,1,0,1,0,0,0
13_27-21,0,0,2,0,0,0
19_32-21,2,1,2,7,7,0
15_16-14,0,1,0,1,1,0
0_15-8,2,4,0,0,0,0
13_15-11,1,4,0,0,0,0
13_18-11,0,1,0,0,0,0
15_32-18,4,3,0,3,3,0
16_32-18,3,2,0,3,3,1
16_32-21,0,1,0,0,0,0
18_32-19,0,1,0,2,2,1
24_32-23,0,1,0,0,0,0
24_32-24,0,1,0,0,0,1
17_32-23,0,2,0,0,0,0
15_18-13,4,1,0,1,1,0
17_30-24,0,1,0,0,0,0
16_32-11,0,1,0,0,0,1
16_19-21,0,1,0,0,0,0
13_14-10,3,1,0,0,0,0
13_18-17,0,1,0,0,0,0
0_19-2,0,0,0,3,3,0
0_19-7,0,0,0,1,1,0
17_19-13,0,0,0,1,1,1
0_15-5,0,0,0,1,1,0
0_12-5,0,0,0,1,1,0
0_14-5,0,0,0,2,2,1
18_32-12,1,0,0,3,3,0
18_32-15,0,0,0,4,4,0
18_25-12,0,0,0,2,2,0
18_25-15,0,0,0,2,2,0
18_31-15,0,0,0,1,1,0
18_31-20,0,0,0,1,1,0
16_18-14,0,0,0,1,1,0
13_32-23,3,0,0,2,2,0
13_32-24,3,0,0,1,1,0
16_27-18,0,0,0,1,1,0
0_19-6,0,0,0,1,1,0
0_10-3,0,0,0,1,1,0
0_16-2,2,0,0,1,1,0
15_32-16,0,0,0,1,1,0
15_15-14,0,0,0,1,1,0
13_16-18,0,0,0,1,1,0
16_19-11,0,0,0,1,1,0
16_19-18,0,0,0,1,1,0
13_32-18,2,0,0,2,2,0
14_17-5,0,0,0,0,0,3
17_32-17,0,0,0,0,0,2
14_27-9,0,0,0,0,0,1
13_32-10,0,0,0,0,0,1
17_32-12,0,0,0,0,0,1
18_32-13,0,0,0,0,0,4
0_18-0,0,0,0,0,0,1
17_32-15,0,0,0,0,0,1
15_30-15,0,0,0,0,0,1
17_18-8,0,0,0,0,0,2
14_22-22,0,0,0,0,0,1
17_19-16,0,0,0,0,0,1
16_32-16,0,0,0,0,0,1
14_32-25,0,0,0,0,0,1
15_32-13,0,0,0,0,0,2
15_17-8,0,0,0,0,0,1
24_32-17,0,0,0,0,0,1
13_14-17,0,0,0,0,0,1
0_13-7,1,0,0,0,0,2
0_13-6,0,0,0,0,0,1
17_30-12,0,0,0,0,0,1
17_22-15,0,0,0,0,0,1
13_14-11,0,0,0,0,0,1
13_22-9,0,0,0,0,0,1
13_19-11,1,0,0,0,0,0
0_16-11,3,0,0,0,0,0
0_15-2,1,0,0,0,0,0
0_17-1,1,0,0,0,0,0
0_17-4,1,0,0,0,0,0
15_32-21,1,0,0,0,0,0
15_17-15,2,0,0,0,0,0
0_15-7,2,0,0,0,0,0
18_32-24,1,0,0,0,0,0
0_14-3,1,0,0,0,0,0
0_18-15,1,0,0,0,0,0
0_17-13,1,0,0,0,0,0
0_15-13,1,0,0,0,0,0
0_18-13,1,0,0,0,0,0
0_14-8,1,0,0,0,0,0
