LM1,TS,LM2,REFERENCE,B3LYP,DFTB,AM1,PM3,PM3MM,PM6
4c1,4h5,1s5,0.0,0.001,0.075,0.1,0.057,0.022,0
4c1,oh5,1s5,0.0,0.0,0.097,0.008,0,0,0
4c1,4h5,os2,0.0,0.001,0,0.113,0.011,0.011,0
4c1,e3,bo3,0.13,0.106,0.46,0.017,0.009,0.009,0
4c1,4h5,bo3,0,0,0,0.109,0,0,0
4c1,oh1,5s1,0.006,0.006,0,0.267,0.017,0.018,0
4c1,2h1,5s1,0.017,0.036,0,0.021,0.028,0.029,0
4c1,4h3,bo3,0.006,0.011,0,0.143,0.04,0.041,0.212
4c1,oh5,os2,0.0,0.0,0.007,0.009,0.009,0.009,0
4c1,oh1,3s1,0.0,0.0,0.035,0.005,0.001,0.001,0
4c1,oh1,os2,0.0,0.0,0,0.003,0.0,0.0,0
4c1,4h3,1s3,0.017,0.061,0.073,0.055,0.014,0.015,0
4c1,4e,1s3,0.0,0,0.193,0.043,0.02,0.021,0
4c1,4e,bo3,0,0,0,0.111,0,0,0.572
4c1,b25,os2,0.015,0.054,0,0,0,0,0
4c1,2h1,3s1,0.001,0.003,0,0,0,0,0
4c1,oh5,3s1,0.0,0.0,0.06,0,0,0,0
4c1,25b,5s1,0.05,0.089,0,0,0,0,0
4c1,e3,1s3,0.334,0.592,0,0,0,0,0
4c1,25b,3s1,0,0.007,0,0,0,0,0
4c1,4e,1s5,0.001,0.033,0,0,0,0,0
4c1,2h1,25b,0,0,0,0,0.0,0.0,0
4c1,2e,25b,0,0,0,0,0.007,0.008,0
4c1,4h5,3s1,0,0,0,0,0.038,0.039,0
4c1,4h5,e5,0,0,0,0,0.061,0.064,0
4c1,4h5,1s3,0,0,0,0,0.007,0.007,0.043
4c1,oh1,25b,0,0,0,0,0.0,0.0,0
4c1,e3,e3,0,0,0,0,0.22,0.229,0
4c1,2e,bo3,0,0,0,0,0.012,0.012,0
4c1,2e,5s1,0,0,0,0,0.449,0.466,0
4c1,4c1,os2,0,0,0,0,0,0,0.111
4c1,2h1,bo3,0.0,0,0,0,0,0,0.034
4c1,oh1,bo3,0,0,0,0,0,0,0.027
4c1,4h3,1s5,0.216,0,0,0,0,0,0
4c1,3ob,1s5,0.046,0,0,0,0,0,0
4c1,3ob,3s1,0.139,0,0,0,0,0,0
4c1,3ob,os2,0.024,0,0,0,0,0,0
4c1,oh5,1s3,0.0,0,0,0,0,0,0
