LM1,TS,LM2,REFERENCE,B3LYP,APFD,DFTB,AM1,PM3,PM3MM,PM6
4c1,oe,3ob,0,0.0,0.0,0.012,0.013,0.002,0.002,0
4c1,oh1,3ob,0,0.001,0.0,0,0.011,0.001,0.002,0
4c1,4h3,2so,0.0,0.001,0.0,0,0.153,0,0,0
4c1,e3,2so,0.017,0.044,0.01,0,0.153,0,0,0
4c1,e1,25b,0,0,0,0,0.007,0,0,0
4c1,4e,2so,0,0,0,0.131,0.052,0.029,0.056,0.009
4c1,oh5,os2,0.0,0.0,0.0,0.038,0.072,0,0,0
4c1,4e,1s3,0,0,0,0.291,0.092,0,0,0
4c1,oh5,3ob,0.0,0.0,0.0,0.022,0.025,0,0,0
4c1,4h5,1s5,0.0,0.001,0.0,0.197,0.154,0.177,0.234,0.023
4c1,oh1,2so,0,0,0.0,0,0.002,0,0,0
4c1,4h5,os2,0,0,0,0,0.266,0.144,0.181,0
4c1,oe,3s1,0.0,0.0,0.0,0.015,0,0.002,0.003,0
4c1,4h3,1s3,0,0.029,0.002,0,0,0,0,0
4c1,oh1,3s1,0.001,0.001,0.0,0,0,0.002,0.002,0
4c1,e1,3s1,0.001,0.001,0.0,0,0,0.0,0.0,0
4c1,oh1,b14,0.011,0.016,0.001,0,0,0.026,0.034,0
4c1,e1,b14,0.01,0.015,0.001,0,0,0.002,0.003,0
4c1,2h3,25b,0.957,0.885,0.443,0,0,0.011,0.015,0
4c1,2h3,5s1,0,0,0.417,0,0,0,0,0
4c1,2h3,2so,0.001,0.003,0.001,0,0,0.01,0.02,0
4c1,oh5,3s1,0,0.0,0.0,0.027,0,0,0,0
4c1,os2,3s1,0,0,0.035,0,0,0,0,0
4c1,os2,3ob,0,0,0.031,0,0,0,0,0
4c1,os2,os2,0,0,0.056,0.048,0,0,0,0
4c1,e1,5s1,0.001,0.0,0.0,0,0,0,0,0
4c1,e1,2so,0,0,0.0,0,0,0,0,0
4c1,oh1,5s1,0.001,0.0,0.0,0,0,0,0,0
4c1,e1,3ob,0.001,0.001,0.0,0,0,0,0,0
4c1,oh5,1s5,0,0,0,0.097,0,0,0,0
4c1,os2,1s5,0,0,0,0.122,0,0,0,0
4c1,2h1,5s1,0,0,0,0,0,0.005,0.007,0
4c1,2h1,25b,0,0,0,0,0,0.004,0.005,0
4c1,b25,os2,0,0,0,0,0,0.108,0.135,0
4c1,4h5,b25,0,0,0,0,0,0.438,0.243,0
4c1,2e,25b,0,0,0,0,0,0.011,0.015,0
4c1,2e,2so,0,0,0,0,0,0.01,0.02,0
4c1,4h5,3ob,0,0,0,0,0,0.019,0.026,0
4c1,4h5,14b,0,0,0,0,0,0,0,0.968
4c1,oe,25b,0,0,0,0,0,0,0,0.001
4c1,oh1,25b,0,0,0,0,0,0,0,0.0
