method,REF,B3LYP,APFD,DFTB,AM1,PM3,PM3MM,PM6
4c1,0.16425302601509767,0.19037076025551397,0.18558987911829797,0.10541231909080702,1.3157487835261914,0.4621910595766253,0.4918686607522129,4.6407347579351175
4h5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.9592036269999955
1s3,5.945787864208702,6.111989762896661,5.487354257213926,3.093963478897182,1.8452575535447395,3.7412593690354994,3.7412593690354994,3.1031890765605787
b14,9.583269475717394,9.738964670937458,9.355422157121744,n/a,5.2108347359999865,2.654091569477664,2.654091569477664,n/a
2so,3.8999998104499998,4.118207798122768,3.946630370128188,2.6189538341344902,1.3600241054150428,1.5056751609467836,1.6727653496497814,1.8268467265879393
3ob,7.846234782998344,8.151405620860594,6.317373499666875,2.6601391633008076,2.321256994992807,1.702037328869209,1.7147465040950636,3.1837670104089906
1s5,7.541342802453636,8.118970773825835,6.840862976586832,3.5121161270381194,2.6250446498654663,3.026744153794202,3.0267441537942026,2.1924089916734086
b25,n/a,n/a,n/a,n/a,4.528104944,4.43316566612998,2.7182132574817888,3.6288298697656387
5s1,7.988715290247891,7.630619994114799,7.404480873160033,3.5744761703688233,1.475273658999995,1.659237915749853,1.659237915749853,n/a
os2,8.415840470097919,7.994685201442512,6.590171306836806,2.9327423856786083,2.9486752253800548,2.090787631623117,2.0384728063894664,3.7562688739999945
5e,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.8047158839999935
1c4,2.4545887920373297,3.4517292863535696,0.30084851263316525,0.6926479215793617,0.3922951993565442,1.4466600627396387,1.4536385858117007,0.4649323460536845
