LM1,TS,LM2,REF,B3LYP,APFD,DFTB,DFTB3,AM1,PM3,PM3MM,PM6,PM7
4c1,oe,3ob,15.936,14.901,15.811,n/a,7.773,5.796,5.073,5.043,n/a,6.344
4c1,oh1,3ob,14.443,13.403,14.396,n/a,n/a,5.26,5.131,5.102,n/a,n/a
4c1,4h3,2so,10.705,9.312,10.111,n/a,5.222,3.359,n/a,n/a,n/a,n/a
4c1,oh1,5s1,14.443,13.403,14.396,n/a,n/a,5.26,n/a,n/a,n/a,n/a
4c1,oh1,2so,n/a,n/a,14.396,n/a,n/a,5.26,n/a,n/a,2.686,n/a
4c1,4e,2so,n/a,n/a,n/a,7.053,n/a,3.996,3.216,3.186,1.115,2.604
4c1,4e,1s3,n/a,n/a,n/a,7.053,6.374,3.996,n/a,n/a,n/a,n/a
4c1,oh5,os2,16.182,15.153,16.031,8.094,7.36,5.407,n/a,n/a,n/a,n/a
4c1,oh5,3ob,16.182,15.153,16.031,8.094,7.36,5.407,n/a,n/a,n/a,5.728
4c1,4h5,1s5,14.6,13.413,13.984,7.676,7.259,4.634,3.629,3.6,0.753,n/a
4c1,4h5,os2,n/a,n/a,n/a,n/a,n/a,4.634,3.629,3.6,n/a,n/a
4c1,4h3,1s3,n/a,9.312,10.111,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,oh1,b14,14.443,13.403,14.396,n/a,n/a,n/a,5.131,5.102,n/a,n/a
4c1,2h3,5s1,10.052,8.616,8.998,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,2h3,2so,10.052,8.616,8.998,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,e3,2so,8.436,7.082,7.754,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,b14,5s1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,oh5,1s5,n/a,n/a,n/a,8.094,7.36,n/a,n/a,n/a,n/a,n/a
4c1,oe,os2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,2h1,5s1,n/a,n/a,n/a,n/a,n/a,n/a,4.494,4.465,n/a,n/a
4c1,4h5,b25,n/a,n/a,n/a,n/a,n/a,n/a,3.629,3.6,n/a,n/a
4c1,2e,2so,n/a,n/a,n/a,n/a,n/a,n/a,3.831,3.802,n/a,n/a
4c1,2e,5s1,n/a,n/a,n/a,n/a,n/a,n/a,3.831,3.802,n/a,n/a
4c1,4h5,3ob,n/a,n/a,n/a,n/a,n/a,n/a,3.629,3.6,n/a,n/a
4c1,oe,2so,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.405,n/a
4c1,4h5,1s3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.746
