LM1,TS,LM2,REF,B3LYP,APFD,DFTB,DFTB3,AM1,PM3,PM3MM,PM6
4c1,oe,3ob,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,oh1,3ob,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,4h3,2so,n/a,n/a,n/a,n/a,1.662,0.044,n/a,n/a,n/a
4c1,oh1,5s1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,oh1,2so,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,4e,2so,n/a,n/a,n/a,2.514,n/a,0.044,1.043,1.181,-2.814
4c1,4e,1s3,n/a,n/a,n/a,2.989,1.966,0.53,n/a,n/a,n/a
4c1,oh5,os2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,oh5,3ob,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,4h5,1s5,n/a,n/a,n/a,3.407,n/a,n/a,2.565,2.535,-2.448
4c1,4h5,os2,n/a,n/a,n/a,n/a,n/a,n/a,1.629,1.547,n/a
4c1,4h3,1s3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,oh1,b14,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,2h3,5s1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,2h3,2so,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,e3,2so,3.736,3.928,3.761,n/a,n/a,n/a,n/a,n/a,n/a
4c1,b14,5s1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,oh5,1s5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,oe,os2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,2h1,5s1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,4h5,b25,n/a,n/a,n/a,n/a,n/a,n/a,3.971,2.226,n/a
4c1,2e,2so,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,2e,5s1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,4h5,3ob,n/a,n/a,n/a,n/a,n/a,n/a,1.24,1.223,n/a
4c1,oe,2so,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
