LM1,TS,LM2,REF,B3LYP,APFD,DFTB,AM1,PM3,PM3MM,PM6
4c1,oe,3ob,0.0,0.0,0.0,0,0.014,0.001,0.004,0
4c1,oh1,3ob,0.0,0.001,0.0,0,0.035,0.001,0.004,0
4c1,4h3,2so,0.0,0.001,0.0,0,0.173,0,0,0
4c1,oh1,5s1,0.001,0.0,0.0,0,0.008,0,0,0
4c1,oh1,2so,0,0,0.0,0,0.007,0,0,0.015
4c1,4e,2so,0,0,0,0.165,0.059,0.012,0.088,0.218
4c1,4e,1s3,0,0,0,0.368,0.134,0,0,0
4c1,oh5,os2,0.0,0.0,0.0,0.048,0.079,0,0,0
4c1,oh5,3ob,0.0,0.0,0.0,0.03,0.028,0,0,0
4c1,4h5,1s5,0.0,0.001,0.0,0.26,0.17,0.08,0.431,0.743
4c1,4h5,os2,0,0,0,0,0.293,0.017,0.081,0
4c1,4h3,1s3,0,0.022,0.006,0,0,0,0,0
4c1,oh1,b14,0.009,0.01,0.003,0,0,0.003,0.018,0
4c1,2h3,5s1,0.974,0.93,0.965,0,0,0,0,0
4c1,2h3,2so,0.001,0.002,0.003,0,0,0,0,0
4c1,e3,2so,0.015,0.033,0.023,0,0,0,0,0
4c1,b14,5s1,0,0,0,0,0,0,0,0
4c1,oh5,1s5,0,0,0,0.128,0,0,0,0
4c1,2h1,5s1,0,0,0,0,0,0.002,0.01,0
4c1,4h5,b25,0,0,0,0,0,0.865,0.256,0
4c1,2e,2so,0,0,0,0,0,0.004,0.031,0
4c1,2e,5s1,0,0,0,0,0,0.006,0.03,0
4c1,4h5,3ob,0,0,0,0,0,0.009,0.047,0
4c1,oe,2so,0,0,0,0,0,0,0,0.025
