method,REF,B3LYP,APFD,DFTB,DFTB3,AM1,PM3,PM3MM,PM6
4c1,0.39623,3.94991,4.65563,2.89663,2.46027,3.64769,1.59465,1.58196,6.27443
4h5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.0
1s3,0.0502,2.8763,2.79617,2.69799,3.65809,3.41489,2.71789,2.71789,2.31679
b14,0.15455,0.53204,0.38944,n/a,n/a,4.02749,5.77756,5.77756,n/a
2so,0.0,2.88272,3.6687,0.56075,1.14458,1.46372,1.66751,1.60399,1.32675
3ob,0.20469,2.08608,2.25461,4.17026,3.92795,3.95623,4.70491,4.71789,4.14388
1s5,2.11896,2.46389,2.48126,2.93836,3.43014,3.53581,4.17172,4.17172,3.15306
b25,n/a,n/a,n/a,n/a,n/a,0.0,0.0,0.0,0.0
5s1,0.71314,2.0986,2.5541,3.55755,3.99442,5.99272,5.75414,5.75414,n/a
os2,0.44837,0.94591,0.74821,4.73365,5.33879,3.84859,4.35387,4.33473,4.3707
5e,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.0
1c4,0.60054,3.61577,2.37622,1.63624,1.30628,2.31048,1.70477,1.72234,1.14578
