method,REF,B3LYP,APFD,DFTB,AM1,PM3,PM3MM,PM6
2h1,n/a,n/a,n/a,n/a,n/a,0.05244,0.05244,n/a
4h3,0.03401,0.03564,0.03071,n/a,0.01,n/a,n/a,n/a
2e,n/a,n/a,n/a,n/a,n/a,0.06317,0.06317,n/a
4e,n/a,n/a,n/a,0.08482,0.0621,0.01924,0.01924,0.06442
e3,0.0,0.01789,0.00447,n/a,n/a,n/a,n/a,n/a
oe,0.0,0.03464,0.1377,n/a,0.17661,0.15731,0.15731,0.23201
2h3,0.00742,0.00806,0.02966,n/a,n/a,n/a,n/a,n/a
oh5,0.03708,0.02429,0.05797,0.05796,0.18639,n/a,n/a,0.33074
oh1,0.0333,0.03512,0.02917,n/a,0.16864,0.10309,0.10989,0.14807
4h5,0.04674,0.05324,0.04455,0.165,0.09902,0.08698,0.08698,0.18051
14b,0.0272,0.0498,0.03033,0.04796,0.11939,0.05278,0.05278,0.11834
25b,0.0,n/a,0.42613,0.26338,n/a,n/a,n/a,n/a
bo3,0.0,0.04615,0.05779,n/a,n/a,n/a,n/a,n/a
b14,0.0,0.01,0.02,n/a,0.18022,0.13989,0.13989,0.2838
1s3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.10574
1s5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.1728
3ob,0.00775,0.01072,0.0156,0.13766,n/a,n/a,n/a,0.12931
b25,0.04508,0.06056,0.07034,n/a,0.10387,n/a,n/a,0.22031
2so,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.10973
3h4,0.01329,0.03307,0.0262,0.06944,0.26344,n/a,n/a,n/a
3h2,0.01363,0.01399,0.01293,0.04256,0.03186,0.06267,0.06267,0.22311
1e(a),0.01703,0.02041,0.02485,0.04228,0.106,0.05986,0.05986,0.39008
5ho,0.02443,0.04651,0.02523,0.08016,0.0826,0.12907,0.12907,0.26973
3e,n/a,n/a,n/a,n/a,n/a,n/a,0.21201,n/a
eo,n/a,n/a,n/a,0.19819,n/a,n/a,n/a,n/a
e2,n/a,n/a,n/a,n/a,n/a,0.14734,0.10397,n/a
5e,0.01521,0.01807,0.02575,0.06779,0.06627,0.03736,0.03736,0.22612
1e(b),0.01175,0.01327,0.04064,0.02821,n/a,n/a,n/a,n/a
1h2,0.0,0.00548,0.23221,n/a,0.14617,n/a,n/a,0.1879
5h4,n/a,n/a,n/a,n/a,n/a,0.06768,0.2083,n/a
