method,REF,B3LYP,APFD,DFTB,DFTB3,AM1,PM3,PM3MM,PM6,PM7
2h1,n/a,n/a,n/a,n/a,n/a,n/a,0.0,0.0,n/a,n/a
4h3,0.38617,1.19748,0.56547,n/a,5.27192,5.54834,n/a,n/a,n/a,n/a
2e,n/a,n/a,n/a,n/a,n/a,n/a,0.0,0.0,n/a,n/a
4e,n/a,n/a,n/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e3,0.0,1.41565,0.27925,n/a,n/a,n/a,n/a,n/a,n/a,n/a
oe,0.0,1.05439,0.89089,n/a,n/a,8.78091,10.11904,10.11904,8.73077,4.78117
2h3,2.39649,1.72469,2.25177,n/a,n/a,n/a,n/a,n/a,n/a,n/a
oh5,0.0502,1.07953,0.97375,7.69603,8.5805,9.43046,n/a,n/a,9.14449,5.26398
oh1,1.31955,1.0737,1.98359,n/a,n/a,6.49265,8.20015,8.20015,6.13074,2.89038
4h5,0.39623,1.09322,0.70273,6.71081,7.48609,8.31198,10.68287,10.68287,8.56983,4.65877
14b,4.08973,2.69368,3.39364,4.40376,4.39331,4.86648,5.67577,5.67577,4.99013,3.59824
25b,0.0,n/a,0.42639,4.58718,n/a,n/a,n/a,n/a,n/a,n/a
bo3,0.0,0.43631,0.42024,n/a,n/a,n/a,n/a,n/a,n/a,n/a
b14,0.0,0.40899,3.671,n/a,n/a,5.46359,9.60011,9.60011,3.46181,3.41513
1s3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.0,n/a
1s5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.0,n/a
3ob,1.59392,1.59016,2.0083,4.56556,3.94147,n/a,n/a,n/a,2.28896,n/a
b25,0.8529,0.6265,0.48962,n/a,n/a,6.03019,n/a,n/a,5.5918,4.31487
2so,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.0,n/a
3h4,1.39585,0.72489,0.84153,4.4464,5.60513,3.84494,n/a,n/a,n/a,n/a
3h2,1.08003,0.98322,1.29278,4.33331,5.30298,5.17537,5.62787,5.62787,6.55854,3.66184
1e(a),1.2982,1.0533,2.32306,3.24995,4.43404,6.11856,5.75401,5.75401,6.25464,4.83945
5ho,0.94222,0.9623,1.47461,8.17346,9.28651,9.4586,9.43593,9.43593,9.43883,9.88757
3e,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.0,n/a,n/a
eo,n/a,n/a,n/a,0.0,n/a,n/a,n/a,n/a,n/a,0.0
e2,n/a,n/a,n/a,n/a,n/a,n/a,0.0,0.0,n/a,n/a
5e,2.8838,1.95325,3.057,4.29887,5.19855,6.36798,6.9527,6.9527,7.4455,6.10639
1e(b),1.27586,1.01503,1.47702,4.77176,6.12742,n/a,n/a,n/a,n/a,n/a
1h2,0.0,0.46197,1.36307,n/a,n/a,7.69451,n/a,n/a,10.08103,n/a
5h4,n/a,n/a,n/a,n/a,n/a,n/a,0.0,0.0,n/a,n/a
