method,REF,B3LYP,APFD,DFTB,AM1,PM3,PM3MM,PM6
2h1,n/a,n/a,n/a,n/a,n/a,4.744874709311982,4.744874709311982,n/a
4h3,10.766072988354008,9.389632523506554,11.159149979303791,n/a,5.217737334999994,n/a,n/a,n/a
2e,n/a,n/a,n/a,n/a,n/a,4.329812099999994,4.329812099999994,n/a
4e,n/a,n/a,n/a,7.369300361182163,5.3451720309058475,4.231810686549516,4.231810686549516,5.988945895999998
e3,8.600000177347,7.184350540981495,8.87925234998265,n/a,n/a,n/a,n/a,n/a
oe,15.899999999538,14.845607921971688,16.79088582198276,n/a,7.1190896049999965,5.563877570612327,5.563877570612327,7.1675622191051165
2h3,10.210869445991325,8.817352049836645,10.165343634969407,n/a,n/a,n/a,n/a,n/a
oh5,16.345787567911703,15.26024559345625,17.316961482110166,8.308377178392595,6.8733574202393655,n/a,n/a,7.201293284000009
oh1,14.26393682229464,13.287155342173474,15.315806691980315,n/a,6.644534568607356,5.657563794164878,5.657563794164878,7.190267968673442
4h5,14.764253283894579,13.532591930276018,15.183793860133978,8.053235056756645,6.088833952915175,3.3857841730547555,3.3857841730547555,5.830935459288497
14b,9.652766354624397,9.00461911399013,9.872091810113472,5.035694987698694,4.635723891985904,3.307794928883635,3.3077949288836352,4.632261133126632
25b,9.300000272045,n/a,8.873604768996909,4.711648799244776,n/a,n/a,n/a,n/a
bo3,9.800000070753999,9.363689297972336,10.220239082949941,n/a,n/a,n/a,n/a,n/a
b14,12.700000283786,12.29101878300085,12.882568760806203,n/a,6.060179288877712,3.0998944600000002,3.0998944600000002,9.23818749800001
1s3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.609681114000012
1s5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5.056762622594826
3ob,9.446329063735263,9.678682368506323,8.514165577371115,4.880765001998925,n/a,n/a,n/a,7.157367654
b25,9.656229408532713,9.662830603575285,9.581239887784921,n/a,3.4095502573271563,n/a,n/a,3.8072516894515522
2so,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5.631893275000007
3h4,12.66959759048968,12.558283451922428,12.739838891542979,8.067830162100876,8.824659066999995,n/a,n/a,n/a
3h2,11.635786168514892,10.561544900020406,9.631913275560464,6.132836238498645,5.230461631949878,5.585578884891003,5.585578884891003,3.6921045188561235
1e(a),11.065120726364205,10.856969882291677,10.637918964314443,6.974433083859749,4.908549472390773,5.148286661094888,5.148286661094888,4.810483994000004
5ho,15.029826988012239,13.769159996437303,15.539139251997035,6.596981410048985,3.965476284847129,4.260857627142309,4.260857627142309,5.578202129184831
3e,n/a,n/a,n/a,n/a,n/a,n/a,5.384654729000004,n/a
eo,n/a,n/a,n/a,9.119588297000082,n/a,n/a,n/a,n/a
e2,n/a,n/a,n/a,n/a,n/a,4.595248406999998,4.630640922405006,n/a
5e,11.142152555806332,10.532501209132123,11.556016152479032,6.7241677866739495,4.1631054104092104,3.868030984566606,3.868030984566607,3.6966555190000046
1e(b),13.616244391811932,13.210890797585193,14.050621796463133,8.301472685528601,n/a,n/a,n/a,n/a
1h2,13.100000248255,12.638031259980801,11.736928335973003,n/a,5.264917908540172,n/a,n/a,2.8772078639178504
5h4,n/a,n/a,n/a,n/a,n/a,4.264168488719484,5.288645851999995,n/a
