LM1,TS,LM2,REF,B3LYP,APFD,DFTB,DFTB3,AM1,PM3,PM3MM,PM6,PM7
1s5,1e(a),1c4,6.248,5.791,7.702,3.771,3.253,2.709,2.198,2.177,2.62,2.915
1s5,1h2,1c4,6.248,5.791,7.702,n/a,n/a,2.709,n/a,n/a,2.62,n/a
2so,5ho,1c4,2.647,1.896,5.091,3.368,2.828,1.91,1.46,1.511,n/a,n/a
2so,5e,1c4,2.647,1.896,5.091,3.368,n/a,1.91,1.46,1.511,2.184,5.138
1s3,5ho,1c4,5.293,n/a,n/a,n/a,2.843,2.367,n/a,n/a,3.523,n/a
3ob,3h2,1c4,6.301,5.865,6.959,2.682,2.224,2.93,n/a,n/a,3.181,4.534
os2,3h2,1c4,6.883,6.151,7.287,2.709,2.408,3.224,2.055,1.995,n/a,n/a
os2,b14,1c4,n/a,n/a,n/a,n/a,n/a,3.224,n/a,n/a,n/a,n/a
os2,3h4,1c4,n/a,n/a,n/a,n/a,n/a,3.224,n/a,n/a,n/a,n/a
5s1,5e,1c4,7.131,5.948,8.753,4.238,3.807,2.363,1.518,1.496,n/a,n/a
1s3,1e(b),1c4,5.293,4.129,6.942,3.628,2.843,n/a,n/a,n/a,n/a,n/a
1s5,1e(b),1c4,6.248,n/a,7.702,3.771,3.253,n/a,n/a,n/a,n/a,n/a
1s3,1e(a),1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
3ob,3h4,1c4,6.301,5.865,6.959,2.682,2.224,n/a,n/a,n/a,n/a,n/a
b14,3h4,1c4,8.96,8.189,10.305,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5s1,3h4,1c4,n/a,5.948,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
b14,5e,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5s1,5ho,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s3,eo,1c4,n/a,n/a,n/a,3.628,n/a,n/a,n/a,n/a,n/a,3.57
b25,e2,1c4,n/a,n/a,n/a,n/a,n/a,n/a,2.944,1.886,n/a,n/a
5s1,5h4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,1.518,1.496,n/a,n/a
3ob,3e,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.478,n/a,n/a
1s5,1s5,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.62,n/a
b25,1s5,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.186,n/a
1s5,oh1,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.62,n/a
b25,b25,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.186,n/a
b25,3h2,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.186,n/a
3ob,b14,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.181,n/a
1s5,3h2,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.915
1s5,14b,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2so,3h4,1c4,2.647,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s3,5e,1c4,5.293,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
