LM1,TS,LM2,REF,B3LYP,APFD,DFTB,DFTB3,AM1,PM3,PM3MM,PM6,PM7
4c1,oe,3ob,15.736,14.66,15.63,n/a,n/a,5.354,5.084,5.058,n/a,5.763
4c1,oh1,3ob,14.1,13.102,14.155,n/a,n/a,4.879,5.178,5.152,n/a,5.202
4c1,4h3,2so,10.602,9.204,9.998,n/a,5.144,3.452,n/a,n/a,n/a,n/a
4c1,oh1,5s1,14.1,13.102,14.155,n/a,n/a,4.879,n/a,n/a,n/a,n/a
4c1,oh1,2so,n/a,n/a,14.155,n/a,n/a,4.879,n/a,n/a,1.874,n/a
4c1,4e,2so,n/a,n/a,n/a,6.772,n/a,3.58,3.752,3.726,0.673,2.23
4c1,4e,1s3,n/a,n/a,n/a,6.772,6.118,3.58,n/a,n/a,n/a,n/a
4c1,oh5,os2,16.182,15.075,16.156,7.711,6.954,5.108,n/a,n/a,n/a,n/a
4c1,oh5,3ob,16.182,15.075,16.156,7.711,6.954,5.108,n/a,n/a,n/a,5.726
4c1,4h5,1s5,14.6,13.347,14.023,7.455,6.928,4.324,2.906,2.88,0.515,n/a
4c1,4h5,os2,n/a,n/a,n/a,n/a,n/a,4.324,2.906,2.88,n/a,n/a
4c1,4h3,1s3,n/a,9.204,9.998,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,oh1,b14,14.1,13.102,14.155,n/a,n/a,n/a,5.178,5.152,n/a,n/a
4c1,2h3,5s1,10.047,8.632,9.004,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,2h3,2so,10.047,8.632,9.004,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,e3,2so,8.436,6.999,7.718,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,b14,5s1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,oh5,1s5,n/a,n/a,n/a,7.711,6.954,n/a,n/a,n/a,n/a,n/a
4c1,2h1,5s1,n/a,n/a,n/a,n/a,n/a,n/a,4.265,4.239,n/a,n/a
4c1,4h5,b25,n/a,n/a,n/a,n/a,n/a,n/a,2.906,2.88,n/a,n/a
4c1,2e,2so,n/a,n/a,n/a,n/a,n/a,n/a,3.85,3.824,n/a,n/a
4c1,2e,5s1,n/a,n/a,n/a,n/a,n/a,n/a,3.85,3.824,n/a,n/a
4c1,4h5,3ob,n/a,n/a,n/a,n/a,n/a,n/a,2.906,2.88,n/a,n/a
4c1,oe,2so,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.851,n/a
4c1,4h5,1s3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.029
