LM1,TS,LM2,REF,B3LYP,APFD,DFTB,DFTB3,AM1,PM3,PM3MM,PM6,PM7
1s5,1e(a),1c4,0.215,0.125,0.079,0.068,0.131,0.051,0.033,0.037,0.019,0.311
1s5,1h2,1c4,0.007,0.006,0.012,0,0,0.028,0,0,0.485,0
2so,5ho,1c4,0.0,0.001,0.0,0.129,0.18,0.249,0.148,0.165,0,0
2so,5e,1c4,0.188,0.216,0.017,0.104,0,0.178,0.287,0.32,0.121,0.662
1s3,5ho,1c4,0.0,0,0,0,0.18,0.249,0,0,0.005,0
3ob,3h2,1c4,0.082,0.206,0.435,0.283,0.167,0.029,0,0,0.122,0.013
os2,3h2,1c4,0.082,0.206,0.435,0.283,0.167,0.029,0.016,0.018,0,0
os2,b14,1c4,0,0,0,0,0,0.007,0,0,0,0
os2,3h4,1c4,0,0,0,0,0,0.0,0,0,0,0
5s1,5e,1c4,0.188,0.216,0.017,0.104,0.123,0.178,0.287,0.32,0,0
1s3,1e(b),1c4,0.003,0.002,0.0,0.007,0.016,0,0,0,0,0
1s5,1e(b),1c4,0.003,0,0.0,0.007,0.016,0,0,0,0,0
1s3,1e(a),1c4,0,0,0,0,0,0,0,0,0,0
3ob,3h4,1c4,0.014,0.007,0.002,0.011,0.02,0,0,0,0,0
b14,3h4,1c4,0.014,0.007,0.002,0,0,0,0,0,0,0
5s1,3h4,1c4,0,0.007,0,0,0,0,0,0,0,0
b14,5e,1c4,0,0,0,0,0,0,0,0,0,0
5s1,5ho,1c4,0,0,0,0,0,0,0,0,0,0
1s3,eo,1c4,0,0,0,0.002,0,0,0,0,0,0.002
b25,e2,1c4,0,0,0,0,0,0,0.084,0.088,0,0
5s1,5h4,1c4,0,0,0,0,0,0,0.147,0.029,0,0
3ob,3e,1c4,0,0,0,0,0,0,0,0.025,0,0
1s5,1s5,1c4,0,0,0,0,0,0,0,0,0.012,0
b25,1s5,1c4,0,0,0,0,0,0,0,0,0.012,0
1s5,oh1,1c4,0,0,0,0,0,0,0,0,0.0,0
b25,b25,1c4,0,0,0,0,0,0,0,0,0.101,0
b25,3h2,1c4,0,0,0,0,0,0,0,0,0.122,0
3ob,b14,1c4,0,0,0,0,0,0,0,0,0.0,0
1s5,3h2,1c4,0,0,0,0,0,0,0,0,0,0.013
1s5,14b,1c4,0,0,0,0,0,0,0,0,0,0
2so,3h4,1c4,0.014,0,0,0,0,0,0,0,0,0
1s3,5e,1c4,0.188,0,0,0,0,0,0,0,0,0
