pathway,REF,B3LYP,APFD,DFTB,DFTB3,AM1,PM3,PM3MM,PM6,PM7
0_16-6,1,1,1,0,0,1,2,1,0,1
0_16-9,5,5,6,0,0,1,3,2,0,1
0_15-2,3,2,1,0,2,1,0,0,0,0
17_33-24,3,3,4,4,5,2,3,3,1,4
17_33-32,1,1,1,0,0,2,0,0,2,0
15_20-11,1,0,0,0,0,1,1,1,0,0
15_16-11,0,0,0,0,0,0,0,0,0,0
0_19-9,2,3,2,0,0,2,0,0,0,0
0_15-9,0,0,1,0,0,1,0,0,1,0
15_33-25,2,3,3,2,1,7,4,4,0,0
15_33-30,4,3,5,2,0,7,9,9,1,1
13_33-25,1,0,0,0,1,3,0,0,1,0
0_15-4,0,0,0,1,0,3,2,2,1,1
16_33-23,4,4,1,3,1,1,0,0,1,1
20_33-23,3,4,6,5,7,5,5,5,0,0
15_17-11,2,3,1,0,1,2,3,3,0,0
13_17-11,1,2,4,6,3,2,3,3,2,0
16_19-14,1,1,1,0,0,1,1,1,0,0
14_19-14,1,1,1,0,0,1,1,1,0,0
15_16-14,0,0,0,0,0,0,0,0,0,3
14_15-14,0,0,0,0,0,0,0,0,0,3
15_20-14,0,0,0,0,0,1,0,0,0,0
0_13-4,0,0,0,3,4,2,0,0,0,0
0_20-8,1,1,1,5,7,1,0,0,0,0
17_20-18,1,2,4,0,0,2,0,0,1,0
20_33-14,0,0,0,0,0,1,0,0,0,0
20_33-22,0,0,0,0,0,1,0,0,0,0
0_16-8,1,1,1,3,2,1,0,0,0,1
19_33-30,3,3,2,4,4,2,2,2,0,0
0_17-10,2,2,2,2,2,1,2,2,1,0
0_20-10,0,0,0,0,0,1,2,2,0,0
13_33-31,4,5,4,3,3,0,0,0,0,0
13_15-13,1,1,1,0,0,0,0,0,0,0
0_13-2,0,1,2,0,0,0,0,0,0,0
17_33-31,1,0,1,4,4,0,0,0,0,0
15_19-12,1,0,1,2,0,0,0,0,0,0
0_14-9,4,3,3,0,0,0,1,1,0,0
0_19-7,1,1,1,0,0,0,0,0,0,0
0_15-7,1,1,1,0,0,0,0,0,0,0
13_33-24,0,0,0,0,0,0,0,0,0,0
14_20-17,1,1,2,0,0,0,0,0,0,0
16_20-17,1,2,3,1,1,0,0,0,0,0
0_15-5,1,1,1,0,0,0,0,0,0,0
16_33-22,1,2,3,4,4,0,0,0,0,0
14_33-22,1,2,3,0,0,0,0,0,0,0
0_19-14,0,0,0,0,0,0,0,0,0,0
16_17-18,4,4,1,0,0,0,0,0,1,1
19_33-22,0,1,0,0,0,0,0,0,0,0
13_20-11,1,1,0,0,0,0,0,0,0,0
14_33-30,0,0,0,0,0,0,0,0,0,0
0_17-8,0,0,0,2,2,0,0,0,0,0
19_33-25,0,0,0,0,0,0,0,0,0,0
13_33-28,0,0,0,1,0,0,0,0,0,1
17_19-17,0,0,0,0,1,0,0,0,0,0
0_19-1,0,0,0,0,0,0,3,3,0,0
0_18-10,0,0,0,0,0,0,1,1,0,0
0_15-3,0,0,0,0,0,0,1,1,0,0
0_19-3,0,0,0,0,0,0,1,1,0,0
0_16-10,0,0,0,0,0,0,1,1,0,0
19_20-11,0,0,0,0,0,0,0,0,0,0
18_33-29,0,0,0,0,0,0,1,2,0,0
19_33-33,0,0,0,0,0,0,2,1,0,0
16_33-26,0,0,0,0,0,0,0,1,0,0
17_33-16,0,0,0,0,0,0,0,0,1,0
18_33-16,0,0,0,0,0,0,0,0,1,0
13_23-15,0,0,0,0,0,0,0,0,1,0
15_18-17,0,0,0,0,0,0,0,0,1,0
16_18-18,0,0,0,0,0,0,0,0,1,0
17_20-23,0,0,0,0,0,0,0,0,0,0
16_17-23,0,0,0,0,0,0,0,0,0,0
17_33-9,0,0,0,0,0,0,0,0,1,0
15_18-10,0,0,0,0,0,0,0,0,1,0
6_13-10,0,0,0,0,0,0,0,0,1,0
6_15-10,0,0,0,0,0,0,0,0,1,0
16_17-6,0,0,0,0,0,0,0,0,1,0
16_17-8,0,0,0,0,0,0,0,0,1,0
0_15-6,0,0,0,0,0,0,0,0,1,0
18_33-18,0,0,0,0,0,0,0,0,1,0
18_33-23,0,0,0,0,0,0,0,0,1,0
16_33-14,0,0,0,0,0,0,0,0,1,0
15_15-21,0,0,0,0,0,0,0,0,1,0
13_23-25,0,0,0,0,0,0,0,0,1,0
17_33-23,0,0,0,0,0,0,0,0,0,2
17_33-11,0,0,0,0,0,0,0,0,0,0
0_13-10,0,0,0,0,0,0,0,0,0,1
15_33-22,2,0,0,0,0,0,0,0,0,0
13_33-30,1,0,0,0,0,0,0,0,0,0
