LM1,TS,LM2,REF,B3LYP,APFD,DFTB,DFTB3,AM1,PM3,PM3MM,PM6
1s5,1e(a),1c4,9.512,8.33,n/a,n/a,5.489,n/a,n/a,n/a,n/a
1s5,1h2,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.479
2so,5ho,1c4,n/a,n/a,n/a,6.33,5.301,3.637,3.595,3.574,n/a
2so,5e,1c4,9.589,8.005,n/a,6.457,n/a,3.835,3.203,3.181,3.299
1s3,5ho,1c4,n/a,n/a,n/a,n/a,5.301,3.637,n/a,n/a,n/a
3ob,3h2,1c4,n/a,8.034,9.37,5.866,5.343,n/a,n/a,n/a,3.294
os2,3h2,1c4,n/a,8.034,9.37,5.866,5.343,n/a,n/a,n/a,n/a
os2,b14,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
os2,3h4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5s1,5e,1c4,9.589,8.005,n/a,6.457,5.527,3.835,3.203,3.181,n/a
1s3,1e(b),1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s5,1e(b),1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s3,1e(a),1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
3ob,3h4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
b14,3h4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5s1,3h4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
b14,5e,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5s1,5ho,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s3,eo,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
b25,e2,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5s1,5h4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,3.599,n/a,n/a
3ob,3e,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s5,1s5,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
b25,1s5,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s5,oh1,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
b25,b25,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.409
b25,3h2,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.294
3ob,b14,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2so,3h4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s3,5e,1c4,9.589,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
