LM1,TS,LM2,REF,B3LYP,APFD,DFTB,DFTB3,AM1,PM3,PM3MM,PM6,PM7
1s5,1e(a),1c4,3.264,2.539,n/a,n/a,2.236,n/a,n/a,n/a,n/a,2.204
1s5,1h2,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-0.141,n/a
2so,5ho,1c4,n/a,n/a,n/a,2.962,2.473,1.727,2.135,2.063,n/a,n/a
2so,5e,1c4,6.942,6.109,n/a,3.089,n/a,1.924,1.743,1.67,1.115,-0.466
1s3,5ho,1c4,n/a,n/a,n/a,n/a,2.458,1.27,n/a,n/a,n/a,n/a
3ob,3h2,1c4,n/a,2.169,2.41,3.184,3.119,n/a,n/a,n/a,0.113,n/a
os2,3h2,1c4,n/a,1.883,2.083,3.157,2.935,n/a,n/a,n/a,n/a,n/a
os2,b14,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
os2,3h4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5s1,5e,1c4,2.458,2.057,n/a,2.22,1.72,1.472,1.685,1.685,n/a,n/a
1s3,1e(b),1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s5,1e(b),1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s3,1e(a),1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
3ob,3h4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
b14,3h4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5s1,3h4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
b14,5e,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5s1,5ho,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s3,eo,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
b25,e2,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5s1,5h4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,2.081,n/a,n/a,n/a
3ob,3e,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s5,1s5,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
b25,1s5,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s5,oh1,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
b25,b25,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-0.777,n/a
b25,3h2,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-0.892,n/a
3ob,b14,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s5,3h2,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s5,14b,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2so,3h4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s3,5e,1c4,4.296,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
