LM1,TS,LM2,REF,B3LYP,APFD,DFTB,DFTB3,AM1,PM3,PM3MM,PM6,PM7
4c1,oe,3ob,8.046,6.453,9.569,n/a,n/a,3.86,3.434,3.4,n/a,6.221
4c1,oh1,3ob,6.41,4.895,8.094,n/a,n/a,3.386,3.528,3.493,n/a,5.66
4c1,4h3,2so,6.566,4.966,5.806,n/a,2.439,2.979,n/a,n/a,n/a,n/a
4c1,oh1,5s1,5.58,4.812,6.3,n/a,n/a,3.953,n/a,n/a,n/a,n/a
4c1,oh1,2so,n/a,n/a,9.962,n/a,n/a,4.406,n/a,n/a,4.608,n/a
4c1,4e,2so,n/a,n/a,n/a,3.734,n/a,3.106,2.106,2.034,3.407,2.083
4c1,4e,1s3,n/a,n/a,n/a,3.474,3.398,2.65,n/a,n/a,n/a,n/a
4c1,oh5,os2,7.909,6.582,9.768,5.333,4.669,3.321,n/a,n/a,n/a,n/a
4c1,oh5,3ob,8.492,6.868,10.095,5.359,4.853,3.615,n/a,n/a,n/a,6.184
4c1,4h5,1s5,6.963,5.214,7.22,4.015,3.798,3.052,0.522,0.522,2.812,n/a
4c1,4h5,os2,n/a,n/a,n/a,n/a,n/a,2.537,0.666,0.704,n/a,n/a
4c1,4h3,1s3,n/a,2.733,3.955,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,oh1,b14,3.751,2.571,4.748,n/a,n/a,n/a,1.783,1.783,n/a,n/a
4c1,2h3,5s1,1.527,0.342,1.15,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,2h3,2so,6.011,4.394,4.812,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,e3,2so,4.4,2.761,3.526,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,b14,5s1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,oh5,1s5,n/a,n/a,n/a,4.27,3.825,n/a,n/a,n/a,n/a,n/a
4c1,2h1,5s1,n/a,n/a,n/a,n/a,n/a,n/a,2.562,2.562,n/a,n/a
4c1,4h5,b25,n/a,n/a,n/a,n/a,n/a,n/a,-0.224,0.813,n/a,n/a
4c1,2e,2so,n/a,n/a,n/a,n/a,n/a,n/a,2.204,2.132,n/a,n/a
4c1,2e,5s1,n/a,n/a,n/a,n/a,n/a,n/a,2.147,2.147,n/a,n/a
4c1,4h5,3ob,n/a,n/a,n/a,n/a,n/a,n/a,1.256,1.222,n/a,n/a
4c1,oe,2so,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.586,n/a
4c1,4h5,1s3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5.451
