LM1,TS,LM2,REF,B3LYP,APFD,DFTB,AM1,PM3,PM3MM,PM6
1s5,1e(a),1c4,0.076,0.086,0.111,0.13,0.091,0.055,0.097,0.004
1s5,1h2,1c4,0.002,0.004,0.017,0,0.05,0,0,0.115
2so,5ho,1c4,0.0,0.0,0.0,0.125,0.116,0.07,0.141,0
2so,5e,1c4,0.0,0.0,0.0,0.101,0.083,0.137,0.274,0.014
1s3,5ho,1c4,0.0,0,0,0,0.25,0,0,0.006
3ob,3h2,1c4,0.032,0.161,0.173,0.086,0.076,0,0,0.075
os2,3h2,1c4,0.084,0.261,0.301,0.09,0.126,0.02,0.034,0
os2,b14,1c4,0,0,0,0,0.031,0,0,0
os2,3h4,1c4,0,0,0,0,0.0,0,0,0
5s1,5e,1c4,0.295,0.195,0.139,0.437,0.178,0.15,0.267,0
1s3,1e(b),1c4,0.0,0.0,0.0,0.011,0,0,0,0
1s5,1e(b),1c4,0.001,0,0.0,0.014,0,0,0,0
1s3,1e(a),1c4,0,0,0,0,0,0,0,0
3ob,3h4,1c4,0.006,0.006,0.001,0.003,0,0,0,0
b14,3h4,1c4,0.491,0.28,0.258,0,0,0,0,0
5s1,3h4,1c4,0,0.006,0,0,0,0,0,0
b14,5e,1c4,0,0,0,0,0,0,0,0
5s1,5ho,1c4,0,0,0,0,0,0,0,0
1s3,eo,1c4,0,0,0,0.003,0,0,0,0
b25,e2,1c4,0,0,0,0,0,0.49,0.142,0
5s1,5h4,1c4,0,0,0,0,0,0.077,0.024,0
3ob,3e,1c4,0,0,0,0,0,0,0.02,0
1s5,1s5,1c4,0,0,0,0,0,0,0,0.003
b25,1s5,1c4,0,0,0,0,0,0,0,0.041
1s5,oh1,1c4,0,0,0,0,0,0,0,0.0
b25,b25,1c4,0,0,0,0,0,0,0,0.336
b25,3h2,1c4,0,0,0,0,0,0,0,0.408
3ob,b14,1c4,0,0,0,0,0,0,0,0.0
2so,3h4,1c4,0.0,0,0,0,0,0,0,0
1s3,5e,1c4,0.013,0,0,0,0,0,0,0
