LM1,TS,LM2,REF,B3LYP,APFD,DFTB,DFTB3,AM1,PM3,PM3MM,PM6,PM7
4c1,oe,3ob,0.0,0.0,0.0,0,0,0.027,0.001,0.003,0,0.001
4c1,oh1,3ob,0.0,0.0,0.0,0,0,0.059,0.001,0.002,0,0.002
4c1,4h3,2so,0.0,0.0,0.0,0,0.697,0.118,0,0,0,0
4c1,oh1,5s1,0.001,0.0,0.0,0,0,0.023,0,0,0,0
4c1,oh1,2so,0,0,0.0,0,0,0.011,0,0,0.033,0
4c1,4e,2so,0,0,0,0.27,0,0.095,0.012,0.026,0.25,0.992
4c1,4e,1s3,0,0,0,0.418,0.138,0.206,0,0,0,0
4c1,oh5,os2,0.0,0.0,0.0,0.018,0.016,0.066,0,0,0,0
4c1,oh5,3ob,0.0,0.0,0.0,0.017,0.012,0.04,0,0,0,0.001
4c1,4h5,1s5,0.0,0.0,0.0,0.168,0.07,0.105,0.168,0.33,0.683,0
4c1,4h5,os2,0,0,0,0,0,0.249,0.132,0.243,0,0
4c1,4h3,1s3,0,0.017,0.008,0,0,0,0,0,0,0
4c1,oh1,b14,0.023,0.022,0.002,0,0,0,0.02,0.039,0,0
4c1,2h3,5s1,0.968,0.943,0.969,0,0,0,0,0,0,0
4c1,2h3,2so,0.0,0.001,0.002,0,0,0,0,0,0,0
4c1,e3,2so,0.008,0.016,0.018,0,0,0,0,0,0,0
4c1,b14,5s1,0,0,0,0,0,0,0,0,0,0
4c1,oh5,1s5,0,0,0,0.109,0.067,0,0,0,0,0
4c1,2h1,5s1,0,0,0,0,0,0,0.005,0.011,0,0
4c1,4h5,b25,0,0,0,0,0,0,0.592,0.202,0,0
4c1,2e,2so,0,0,0,0,0,0,0.01,0.022,0,0
4c1,2e,5s1,0,0,0,0,0,0,0.011,0.021,0,0
4c1,4h5,3ob,0,0,0,0,0,0,0.049,0.101,0,0
4c1,oe,2so,0,0,0,0,0,0,0,0,0.034,0
4c1,4h5,1s3,0,0,0,0,0,0,0,0,0,0.003
