phi,theta
163.9,88.5
274.2,89.4
272.4,89.2
155.5,86.8
264.8,95.1
196.9,87.3
328.7,92.5
147.9,84.7
328.8,92.5
195.0,86.7
327.3,177.8
264.9,92.6
30.0,177.8
194.7,86.2
129.1,174.2
195.7,86.2
210.9,87.7
112.0,170.6
44.8,177.7
249.2,91.8
274.1,89.4
327.0,177.9
264.9,92.6
30.4,177.8
45.3,177.7
267.5,94.5
326.4,177.8
195.6,86.2
148.0,84.7
96.7,88.1
50.8,1.3
147.9,84.7
50.8,1.3
113.9,91.6
326.1,177.9
5.3,89.6
45.2,177.7
18.9,89.9
30.6,177.8
17.1,90.8
66.3,176.6
7.1,89.7
328.3,92.4
204.8,177.4
328.8,92.5
210.1,177.6
328.3,92.4
166.4,177.4
27.1,92.1
29.9,177.8
155.5,86.8
45.1,177.7
148.0,84.7
210.7,177.6
161.9,88.4
308.3,3.8
163.4,88.0
350.9,1.6
157.1,89.9
331.1,2.8
340.3,3.9
273.0,89.7
114.2,168.7
157.3,89.9
112.3,170.7
150.7,89.7
141.9,91.5
44.9,177.7
66.2,176.6
141.9,91.5
82.7,90.5
112.2,170.6
204.8,177.4
99.5,94.1
210.3,177.6
113.9,91.6
195.6,86.1
129.3,174.2
163.3,88.0
327.0,177.9
326.1,177.8
164.0,88.5
96.6,88.1
30.8,91.8
278.3,90.8
17.0,90.8
19.0,89.9
275.8,91.6
7.3,89.7
276.7,91.5
328.3,92.4
274.0,91.6
200.4,87.5
157.4,87.4
335.5,5.1
94.3,92.3
88.6,90.3
340.4,3.9
353.2,2.4
48.5,86.8
14.0,2.1
155.5,86.8
274.0,91.6
1.5,3.6
339.4,90.8
22.1,89.6
328.3,92.4
48.4,86.8
13.7,2.1
19.0,89.9
14.3,2.1
19.0,89.9
14.4,2.1
45.3,86.4
31.1,89.9
351.3,4.8
22.0,89.6
50.8,1.2
33.7,90.0
1.8,3.6
22.0,3.8
7.4,89.7
51.1,1.3
328.8,92.5
7.5,89.7
326.3,4.5
274.2,89.4
5.6,89.6
249.1,91.8
327.3,177.9
30.0,177.8
66.5,176.6
44.9,177.7
195.7,86.2
274.2,89.4
272.4,89.2
264.8,92.6
278.3,90.8
113.5,91.6
155.5,86.8
19.0,89.9
17.0,90.8
14.7,2.1
51.3,1.3
96.7,88.1
94.4,92.3
45.2,86.3
48.8,86.8
194.7,86.2
5.5,89.6
7.1,89.7
328.3,92.4
339.4,90.8
328.8,92.5
