method,REFERENCE,B3LYP,APFD,DFTB,AM1,PM3,PM3MM,PM6
4c1,0.39623,3.83041,3.55521,2.29307,2.76161,1.32828,1.30731,5.27032
4h5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.0
1s3,0.0502,2.78159,2.09094,2.64505,3.35691,2.02295,2.02295,2.47947
b14,0.10139,0.79753,0.28363,n/a,4.37244,5.58938,5.58938,n/a
2so,0.0,2.62533,2.53741,1.25905,2.13769,1.95852,1.86093,1.57244
5s1,0.53453,1.96012,1.93403,4.03731,n/a,5.65127,5.65127,n/a
3ob,0.13305,0.4789,1.46423,5.22799,5.45347,5.19043,5.0822,4.36282
1s5,0.48257,2.37103,1.45258,3.51451,3.94291,4.27782,4.27782,4.00447
b25,n/a,n/a,n/a,n/a,0.0,0.0,0.0,0.0
3s1,0.13305,1.86908,1.53441,4.43545,2.6354,5.27204,5.27204,4.9553
25b,0.0,0.46501,0.72862,4.07735,6.1691,6.01035,6.01035,6.22518
14b,0.0,1.98776,0.71073,5.74387,8.45384,7.03481,7.03481,6.54197
os2,0.23184,1.00927,1.53336,4.72392,4.48478,4.44681,4.32506,3.81195
5e,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.0
1c4,0.53385,3.20131,1.77321,1.38041,1.63959,1.34764,1.50572,1.3962
