LM1,TS,LM2,REFERENCE,B3LYP,APFD,DFTB,AM1,PM3,PM3MM,PM6
4c1,oe,3ob,0,0.0,0.0,0.026,0.005,0.008,0.008,0
4c1,oh1,3ob,0,0.0,0.0,0,0.004,0.008,0.008,0
4c1,4h3,2so,0.019,0.019,0.012,0,0.325,0,0,0
4c1,e3,2so,0.868,0.836,0.625,0,0.325,0,0,0
4c1,e1,25b,0,0,0,0,0.018,0,0,0
4c1,4e,2so,0,0,0,0.273,0.111,0.192,0.192,0.205
4c1,oh5,os2,0.0,0.0,0.0,0.047,0.01,0,0,0
4c1,4e,1s3,0,0,0,0.273,0.111,0,0,0
4c1,oh5,3ob,0.0,0.0,0.0,0.047,0.01,0,0,0
4c1,4h5,1s5,0.0,0.0,0.0,0.095,0.038,0.095,0.095,0.378
4c1,oh1,2so,0,0,0.0,0,0.004,0,0,0
4c1,4h5,os2,0,0,0,0,0.038,0.095,0.095,0
4c1,oe,3s1,0.0,0.0,0.0,0.026,0,0.008,0.008,0
4c1,4h3,1s3,0,0.019,0.012,0,0,0,0,0
4c1,oh1,3s1,0.0,0.0,0.0,0,0,0.008,0.008,0
4c1,e1,3s1,0.0,0.0,0.0,0,0,0.001,0.001,0
4c1,oh1,b14,0.0,0.0,0.0,0,0,0.008,0.008,0
4c1,e1,b14,0.0,0.0,0.0,0,0,0.001,0.001,0
4c1,2h3,25b,0.057,0.063,0.076,0,0,0.068,0.068,0
4c1,2h3,5s1,0,0,0.076,0,0,0,0,0
4c1,2h3,2so,0.057,0.063,0.076,0,0,0.068,0.068,0
4c1,oh5,3s1,0,0.0,0.0,0.047,0,0,0,0
4c1,os2,3s1,0,0,0.041,0,0,0,0,0
4c1,os2,3ob,0,0,0.041,0,0,0,0,0
4c1,os2,os2,0,0,0.041,0.059,0,0,0,0
4c1,e1,5s1,0.0,0.0,0.0,0,0,0,0,0
4c1,e1,2so,0,0,0.0,0,0,0,0,0
4c1,oh1,5s1,0.0,0.0,0.0,0,0,0,0,0
4c1,e1,3ob,0.0,0.0,0.0,0,0,0,0,0
4c1,oh5,1s5,0,0,0,0.047,0,0,0,0
4c1,os2,1s5,0,0,0,0.059,0,0,0,0
4c1,2h1,5s1,0,0,0,0,0,0.022,0.022,0
4c1,2h1,25b,0,0,0,0,0,0.022,0.022,0
4c1,b25,os2,0,0,0,0,0,0.071,0.071,0
4c1,4h5,b25,0,0,0,0,0,0.095,0.095,0
4c1,2e,25b,0,0,0,0,0,0.068,0.068,0
4c1,2e,2so,0,0,0,0,0,0.068,0.068,0
4c1,4h5,3ob,0,0,0,0,0,0.095,0.095,0
4c1,4h5,14b,0,0,0,0,0,0,0,0.378
4c1,oe,25b,0,0,0,0,0,0,0,0.021
4c1,oh1,25b,0,0,0,0,0,0,0,0.017
