pathway,REFERENCE,B3LYP,APFD,DFTB,AM1,PM3,PM3MM,PM6
0_17-6,0,1,1,1,1,2,1,0
0_17-9,0,2,2,0,1,2,1,0
0_15-2,3,2,1,0,1,0,0,0
0_15-5,1,1,1,0,1,0,0,0
18_36-26,3,3,3,4,2,3,3,1
18_36-34,4,4,3,3,3,2,2,2
22_36-26,0,2,0,4,2,0,0,1
22_36-34,0,2,0,0,2,0,0,0
15_17-17,0,0,0,0,1,0,0,0
15_23-17,0,0,0,0,1,0,0,0
0_21-10,0,0,0,0,2,0,0,0
15_36-32,4,3,4,0,5,7,7,0
15_36-27,2,3,3,2,4,2,2,0
13_36-27,1,0,0,0,3,0,0,1
0_15-4,0,0,0,1,3,2,2,1
17_36-25,2,4,1,3,1,0,0,1
23_36-25,3,4,6,4,5,3,3,0
15_18-12,2,3,1,0,2,3,3,0
13_18-12,1,2,4,6,2,3,3,2
20_21-15,0,1,0,0,1,0,0,0
20_21-21,0,0,0,0,1,0,0,0
14_21-15,0,1,0,0,1,0,0,0
14_21-21,0,0,0,0,1,0,0,0
15_23-15,0,0,0,0,1,0,0,0
21_23-15,0,0,0,0,1,0,0,0
21_36-32,1,1,2,4,4,4,4,1
0_23-8,1,1,1,4,1,0,0,0
18_23-23,1,2,4,0,2,0,0,0
15_18-16,0,0,0,0,1,0,0,0
0_13-4,0,0,0,3,1,0,0,0
18_23-19,0,1,3,0,1,0,0,1
22_23-19,0,0,0,0,1,0,0,0
22_23-23,0,0,0,0,1,0,0,0
23_36-15,0,0,0,0,1,0,0,0
23_36-24,0,0,0,0,1,0,0,0
0_17-8,1,1,1,3,1,0,0,0
0_18-11,2,2,2,2,1,2,2,1
0_15-9,0,0,1,0,1,0,0,0
0_23-11,0,0,0,0,1,1,1,0
13_36-33,4,5,4,3,0,0,0,0
0_20-6,1,1,1,1,0,2,1,0
13_15-14,1,1,1,0,0,0,0,0
0_13-2,0,1,2,0,0,0,0,0
22_36-33,1,0,1,4,0,0,0,0
15_16-13,1,0,1,2,0,0,0,0
15_16-20,0,0,1,0,0,0,0,0
0_20-9,4,4,5,0,0,3,2,0
0_20-10,1,2,6,0,0,1,1,0
0_14-9,3,3,3,0,0,1,1,0
0_14-10,2,1,3,0,0,1,1,0
0_21-7,1,1,1,0,0,1,1,0
0_16-7,0,0,1,0,0,0,0,0
0_15-7,1,1,1,0,0,1,1,0
20_23-18,1,2,3,1,0,0,0,0
14_23-18,1,1,2,0,0,0,0,0
17_23-18,0,1,1,0,0,0,0,0
0_20-8,0,1,1,2,0,0,0,0
0_20-19,0,0,1,0,0,0,0,0
0_17-19,0,0,1,0,0,0,0,0
0_23-19,0,0,1,4,0,0,0,0
20_36-24,1,2,3,4,0,0,0,0
14_36-24,0,1,2,0,0,0,0,0
16_20-15,1,1,1,0,0,1,1,0
14_16-15,1,1,1,0,0,1,1,0
0_16-10,2,3,2,0,0,0,0,0
0_15-10,0,0,1,0,0,0,0,0
0_16-9,2,2,1,0,0,0,0,0
18_20-19,2,3,1,0,0,0,0,0
18_20-23,2,3,1,0,0,0,0,0
17_18-19,2,4,1,0,0,0,0,1
17_18-23,2,4,1,0,0,0,0,0
20_36-25,2,3,1,2,0,0,0,1
0_17-10,1,2,2,0,0,0,0,0
16_36-32,2,2,2,4,0,0,0,0
13_22-12,0,2,0,0,0,3,3,1
16_36-24,0,1,0,0,0,0,0,0
21_36-24,0,1,0,0,0,0,0,0
13_23-12,1,1,0,0,0,0,0,0
0_18-8,0,0,0,2,0,0,0,0
0_18-19,0,0,0,2,0,0,0,0
13_36-26,0,0,0,2,0,0,0,0
13_36-28,0,0,0,1,0,0,0,1
18_36-33,0,0,0,1,0,1,1,0
15_19-12,0,0,0,0,0,1,1,0
0_16-1,0,0,0,0,0,3,3,0
0_21-1,0,0,0,0,0,3,3,0
0_23-23,0,0,0,0,0,1,1,0
0_19-11,0,0,0,0,0,2,2,0
0_21-3,0,0,0,0,0,1,1,0
0_15-3,0,0,0,0,0,1,1,0
0_17-11,0,0,0,0,0,1,1,0
21_23-12,0,0,0,0,0,1,1,0
19_36-26,0,0,0,0,0,1,1,0
19_36-34,0,0,0,0,0,1,1,0
19_36-29,0,0,0,0,0,1,2,1
19_36-25,0,0,0,0,0,2,2,1
16_36-35,0,0,0,0,0,2,1,0
21_36-35,0,0,0,0,0,2,1,0
17_36-24,0,0,0,0,0,0,1,0
17_36-30,0,0,0,0,0,0,1,0
19_36-17,0,0,0,0,0,0,0,2
19_36-23,0,0,0,0,0,0,0,1
18_36-17,0,0,0,0,0,0,0,1
22_36-17,0,0,0,0,0,0,0,1
13_28-16,0,0,0,0,0,0,0,1
19_21-6,0,0,0,0,0,0,0,1
19_21-18,0,0,0,0,0,0,0,1
21_23-6,0,0,0,0,0,0,0,1
21_23-18,0,0,0,0,0,0,0,1
17_19-19,0,0,0,0,0,0,0,1
19_20-19,0,0,0,0,0,0,0,1
18_36-21,0,0,0,0,0,0,0,1
22_36-21,0,0,0,0,0,0,0,1
15_19-11,0,0,0,0,0,0,0,1
0_22-11,0,0,0,0,0,0,0,1
3_13-11,0,0,0,0,0,0,0,1
17_18-6,0,0,0,0,0,0,0,1
17_18-8,0,0,0,0,0,0,0,1
18_20-6,0,0,0,0,0,0,0,1
18_20-8,0,0,0,0,0,0,0,1
0_21-6,0,0,0,0,0,0,0,1
0_21-9,0,0,0,0,0,0,0,1
17_36-15,0,0,0,0,0,0,0,1
17_36-20,0,0,0,0,0,0,0,1
20_36-15,0,0,0,0,0,0,0,1
20_36-20,0,0,0,0,0,0,0,1
15_21-13,0,0,0,0,0,0,0,1
15_21-22,0,0,0,0,0,0,0,1
13_28-22,0,0,0,0,0,0,0,1
13_28-27,0,0,0,0,0,0,0,1
15_23-12,1,0,0,0,0,0,0,0
15_36-24,2,0,0,0,0,0,0,0
