LM1,LM2,REFERENCE,B3LYP,APFD,DFTB,AM1,PM3,PM3MM,PM6
4c1,3ob,0.001,0.001,0.018,0.221,0.064,0.178,0.185,0.063
4c1,2so,0.963,0.956,0.879,0.219,0.325,0.228,0.17,0.008
4c1,25b,0.001,0.004,0.002,0.05,0.309,0.216,0.23,0.005
4c1,os2,0.0,0.001,0.01,0.129,0.022,0.023,0.026,0.185
4c1,1s3,0.03,0.033,0.065,0.098,0.184,0.005,0.006,0.055
4c1,1s5,0.002,0.001,0.007,0.051,0.038,0.019,0.02,0.011
4c1,3s1,0.001,0.001,0.016,0.185,0.0,0.152,0.162,0.038
4c1,b14,0.0,0.0,0.0,0,0.0,0.01,0.011,0
4c1,5s1,0.001,0.002,0.003,0.044,0,0.155,0.165,0
4c1,b25,0,0,0,0,0.002,0.008,0.019,0.148
4c1,14b,0.0,0.001,0.0,0.003,0.057,0.006,0.006,0.487
