method,REFERENCE,B3LYP,APFD,DFTB,AM1,PM3,PM3MM,PM6
4c1,0.16425302601509767,0.19037076025551397,0.18558987911829797,0.10541231909080702,1.3157487835261914,0.4621910595766253,0.4918686607522129,4.6407347579351175
4h5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.9592036269999955
1s3,5.945787864208702,6.111989762896661,5.487354257213926,3.093963478897182,1.6857774295121464,3.7412593690354994,3.7412593690354994,3.1031890765605787
b14,9.583269475717394,9.801326964906398,9.355422157121744,n/a,5.2108347359999865,3.3423745147193116,3.3423745147193116,n/a
2so,3.8999998104499998,4.118207798122768,3.946630370128188,2.6189538341344902,1.348609523426533,1.5081206900171251,1.7229669813970034,1.9623800833604537
5s1,8.061510059111782,7.668830299872958,7.404480873160032,3.5744761703688233,n/a,1.7380576886200063,1.7380576886200063,n/a
3ob,7.846234782998344,8.092293165390863,6.2461349557934565,2.613634740828512,2.3135413173066497,1.654794794834926,1.672809392625881,3.1837670104089906
1s5,7.538349067087401,8.118970773825835,6.838640957482623,3.485397470641577,2.6250446498654663,2.9846431413445114,2.9846431413445114,2.177233724186045
b25,n/a,n/a,n/a,n/a,4.528104944,3.521586738420322,3.0050430110681536,3.6943251459159736
3s1,7.846234782998344,8.384323088903074,6.317373499666875,2.7212943045005096,5.2108347359999865,1.748692252057823,1.748692252057823,2.890933962999983
25b,7.900000082649,7.42954730684736,7.440250644850332,3.500093561257322,1.2540108183663736,1.5424253557181955,1.5424253557181953,1.6748215209999855
14b,10.999999964161,8.211837334969568,10.289265073061026,5.1098097702949765,2.376344731941666,3.7004932979077845,3.7004932979077845,4.398483754601312
os2,8.415840470097919,7.994685201442511,6.590171306836806,2.9327423856786083,2.9486752253800557,2.8649581194704945,2.8301320916871004,3.826197589169535
5e,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.8047158839999935
1c4,2.4545887920373297,3.4517292863535696,0.30084851263316525,0.6926479215793617,0.3922951993565442,1.4466600627396387,1.4536385858117007,0.4649323460536845
