method,REFERENCE,B3LYP,APFD,DFTB,AM1,PM3,PM3MM,PM6
2h1,n/a,n/a,n/a,n/a,n/a,0.05425,0.05425,n/a
4h3,0.03425,0.03554,0.03066,n/a,0.01225,n/a,n/a,n/a
2e,n/a,n/a,n/a,n/a,n/a,0.06317,0.06317,n/a
4e,n/a,n/a,n/a,0.08036,0.06213,0.01789,0.01789,0.06442
e3,0.0,0.01789,0.00447,n/a,n/a,n/a,n/a,n/a
oe,0.0,0.03464,0.1377,n/a,0.17661,0.15622,0.15622,0.23854
2h3,0.00949,0.00975,0.02992,n/a,n/a,n/a,n/a,n/a
oh5,0.03708,0.0248,0.05445,0.0583,0.18986,n/a,n/a,0.33788
oh1,0.03551,0.0367,0.02946,n/a,0.16224,0.11735,0.12246,0.15784
4h5,0.04674,0.05408,0.04467,0.165,0.09823,0.08489,0.08489,0.16147
14b,0.02789,0.04992,0.03567,0.05086,0.11595,0.06025,0.06025,0.12888
25b,0.0,n/a,0.42613,0.26338,n/a,n/a,n/a,n/a
bo3,0.0,0.04615,0.05779,n/a,n/a,n/a,n/a,n/a
b14,0.0,0.01,0.0211,n/a,0.18158,0.13989,0.13989,0.2838
1s3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.10574
1s5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.17359
3ob,0.0114,0.01688,0.01592,0.13579,n/a,n/a,n/a,0.12872
b25,0.04101,0.05812,0.07244,n/a,0.11766,n/a,n/a,0.23755
2so,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.10973
3h4,0.01897,0.05759,0.02436,0.07124,0.26704,n/a,n/a,n/a
3h2,0.01545,0.01608,0.01558,0.04233,0.03133,0.06875,0.06875,0.15584
1e(a),0.01817,0.0216,0.02743,0.04159,0.10578,0.06264,0.06264,0.3894
5ho,0.03256,0.05102,0.03017,0.08696,0.08494,0.12261,0.12261,0.26862
3e,n/a,n/a,n/a,n/a,n/a,n/a,0.21201,n/a
eo,n/a,n/a,n/a,0.19819,n/a,n/a,n/a,n/a
e2,n/a,n/a,n/a,n/a,n/a,0.14734,0.10397,n/a
5e,0.01647,0.0188,0.02632,0.07082,0.07069,0.03513,0.03513,0.23145
1e(b),0.01378,0.01536,0.04121,0.02893,n/a,n/a,n/a,n/a
1h2,0.0,0.00548,0.23221,n/a,0.12837,n/a,n/a,0.18389
5h4,n/a,n/a,n/a,n/a,n/a,0.07321,0.2083,n/a
