method,REFERENCE,B3LYP,APFD,DFTB,AM1,PM3,PM3MM,PM6
2h1,n/a,n/a,n/a,n/a,n/a,0.0,0.0,n/a
4h3,0.4673,1.15146,0.50893,n/a,6.19481,n/a,n/a,n/a
2e,n/a,n/a,n/a,n/a,n/a,0.0,0.0,n/a
4e,n/a,n/a,n/a,0.0,0.0,0.0,0.0,0.0
e3,0.0,1.3278,0.66013,n/a,n/a,n/a,n/a,n/a
oe,0.0,1.00841,0.10354,n/a,8.98844,10.43913,10.43913,9.16854
2h3,2.18046,1.56435,1.54949,n/a,n/a,n/a,n/a,n/a
oh5,0.0502,1.00123,0.13317,7.89493,9.56434,n/a,n/a,9.41432
oh1,1.13498,1.01904,0.97763,n/a,6.88611,8.48965,8.40568,6.55642
4h5,0.39623,1.03387,0.53977,6.98162,8.50826,10.17086,10.17086,8.78445
14b,3.51151,2.30148,2.33542,4.70354,5.41587,5.46976,5.46976,5.62603
25b,0.0,n/a,0.17513,3.65814,n/a,n/a,n/a,n/a
bo3,0.0,0.41718,0.55147,n/a,n/a,n/a,n/a,n/a
b14,0.0,0.39836,2.54206,n/a,5.38267,9.67357,9.67357,4.19856
1s3,n/a,n/a,n/a,n/a,0.0,n/a,n/a,0.0
1s5,n/a,0.0,n/a,n/a,0.0,n/a,n/a,0.0
3ob,1.21608,1.17129,1.22192,5.69666,n/a,n/a,n/a,3.70243
b25,0.99009,0.41942,0.7349,n/a,6.0192,n/a,n/a,5.98408
3s1,n/a,n/a,n/a,n/a,0.0,n/a,n/a,0.0
5s1,n/a,n/a,0.0,n/a,n/a,n/a,n/a,0.0
2so,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.0
3h4,1.09032,0.3463,0.75469,4.82343,5.29854,n/a,n/a,n/a
3h2,0.70462,0.83854,2.09358,4.63251,5.97101,5.08569,5.08569,7.5145
1e(0),1.11652,0.86598,1.04629,3.71639,6.89436,6.22605,6.22605,n/a
5ho,0.64196,0.99248,0.64767,8.56905,9.41408,8.72037,8.72037,10.12363
3e,n/a,n/a,n/a,n/a,n/a,n/a,0.0,n/a
eo,n/a,n/a,n/a,0.0,n/a,n/a,n/a,0.0
e2,n/a,n/a,n/a,n/a,n/a,0.0,0.0,0.0
5e,1.98669,1.66871,1.33412,4.9262,6.88844,7.16928,7.16928,8.10312
1e(1),0.97628,0.76708,0.55989,5.2839,n/a,n/a,n/a,n/a
1h2,0.0,0.53002,n/a,n/a,8.20084,n/a,n/a,9.84134
5h4,n/a,n/a,n/a,n/a,n/a,0.0,0.0,n/a
