method,REFERENCE,B3LYP,APFD,DFTB,AM1,PM3,PM3MM,PM6
2h1,n/a,n/a,n/a,n/a,n/a,4.956653916377224,4.956653916377224,n/a
4h3,10.869747763542707,9.502780036843893,10.296234688444503,n/a,4.674942049999973,n/a,n/a,n/a
2e,n/a,n/a,n/a,n/a,n/a,4.2934165779999915,4.2934165779999915,n/a
4e,n/a,n/a,n/a,7.1580761408283315,5.311478307888605,3.678086241532997,3.678086241532997,5.755512548000008
e3,8.600000177347,7.27220180097371,7.939871377000156,n/a,n/a,n/a,n/a,n/a
oe,16.100000295527,15.091591449992695,15.996459428062327,n/a,7.1115594969999885,5.535085131686325,5.535085131686325,7.046158234865936
2h3,10.216414330324557,8.806175520782554,9.183588229528578,n/a,n/a,n/a,n/a,n/a
oh5,16.345787567911703,15.343238929871898,16.2165139135303,8.199564728738062,6.723194956086312,n/a,n/a,6.931464414000001
oh1,14.607693831739901,13.593352420644699,14.5814965206644,n/a,6.575343796664642,5.59358655350697,5.59358655350697,7.326351690885444
4h5,14.764253283894579,13.603159813330564,14.169399123761927,7.781479942227186,5.949908239696522,4.091399057304334,4.091399057304334,5.394061148432931
14b,10.464674802191334,9.868667006150476,9.822532138129954,5.607130853084323,4.990507553054748,4.3798394196949,4.379839419694899,4.793348160017102
25b,8.900000307576,n/a,8.724885136015693,5.237857496656889,n/a,n/a,n/a,n/a
bo3,10.500000165452,10.082814611940208,9.948527685993891,n/a,n/a,n/a,n/a,n/a
b14,12.999999786506,12.601635738001352,12.194208281837037,n/a,6.478619588892045,3.3264252090000004,3.3264252090000004,8.80144123399999
1s3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5.154986434999983
1s5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5.418642318584977
3ob,10.982165831729635,11.307150147695513,9.208136787510032,5.285508307000322,n/a,n/a,n/a,7.279731908999983
b25,10.539790360121383,10.64877610234964,9.667659893890379,n/a,4.387400236101559,n/a,n/a,4.555602954089697
2so,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5.567259847999995
3h4,13.207033032120203,13.108774514849003,12.230720416947797,8.255096240409248,7.908495926999985,n/a,n/a,n/a
3h2,12.78330094952148,11.784771058389556,10.029741991573232,7.212189939256481,5.609559923386816,7.006589981927113,7.006589981927114,4.523786417239508
1e(a),12.098037334188108,11.937634803699217,10.757577831555544,7.789104052677591,5.170686771922061,5.782711670980072,5.782711670980072,5.209579717999985
5ho,15.662653584435821,14.29467790432416,15.030484315145202,7.169256220914389,4.675043781062244,5.165122874120508,5.165122874120508,5.648011718954732
3e,n/a,n/a,n/a,n/a,n/a,n/a,6.912639143999999,n/a
eo,n/a,n/a,n/a,9.440872905000402,n/a,n/a,n/a,n/a
e2,n/a,n/a,n/a,n/a,n/a,5.863444095999995,5.9006498327569545,n/a
5e,12.11730196786352,11.501889507448308,11.382918596784108,7.1639121045416,4.868576959552536,4.689539233746146,4.689539233746148,4.0135475640000084
1e(b),14.467115854077658,14.114990238398985,13.943372923900053,8.747929785972415,n/a,n/a,n/a,n/a
1h2,13.500000212724,12.969983520998777,11.600131374033024,n/a,5.295067370968412,n/a,n/a,3.445456039309442
5h4,n/a,n/a,n/a,n/a,n/a,4.870290616646198,5.684604031000007,n/a
