,AM1,B3LYP,DFTB,PM3,PM3MM,PM6,REFERENCE
4c1,0.0127,0.00368,0.00134,0.02237,0.02227,0.0322,0.00636
2h1,,,,0.05425,0.05425,,
4h3,0.02864,0.04761,0.05727,,,,0.04021
2e,,,,0.06317,0.06317,,
4e,0.06213,,0.04362,0.01789,0.01789,0.06442,
e3,,0.01789,,,,,0.0
2h3,,0.06508,,,,,0.06588
oe,,0.03464,,,,,0.0
oh5,0.18835,0.02398,0.05309,,,0.33496,0.03722
e1,0.15182,0.0322,,0.07225,0.07225,,0.03149
e5,0.07874,0.05089,0.10366,0.09235,0.09235,0.09181,0.05514
oh1,0.15136,0.02198,,0.103,0.14096,0.20761,0.01958
1s3,0.03354,0.01392,0.02487,0.18738,0.18738,0.06961,0.02588
b14,0.1005,0.03298,,0.03962,0.03962,,0.01932
2so_0,0.0628,0.03703,,0.05478,0.05478,0.14061,0.02881
2so_1,0.02937,0.01535,0.04182,0.01938,0.0235,0.05526,0.01877
14b,0.14824,0.05261,0.1008,0.11519,0.11519,0.11939,0.04288
3ob,0.05265,0.04387,0.04885,0.05852,0.05134,0.02919,0.006
3s1_0,,0.00901,0.01845,0.02905,0.03225,,0.00975
1s5_0,0.03052,0.0066,0.02454,0.05435,0.05435,0.02321,0.00965
os2_0,0.04368,0.01378,0.03587,0.05337,0.04766,,0.00775
5s1,,0.03149,0.02214,0.10276,0.10276,0.32016,0.03387
3s1_1,0.06116,0.01018,0.04324,0.02975,0.02975,0.23937,0.0223
25b,0.09708,0.01549,0.07875,0.06259,0.06943,,0.00183
b25,0.07473,0.03979,,0.08449,0.06856,0.02921,0.04393
os2_1,0.0392,0.01662,0.03013,0.05431,0.04577,0.07463,0.0199
1s5_1,0.06269,0.0098,0.02091,0.08904,0.08904,0.045,0.01192
3h4,0.31552,0.0519,0.05914,,,,0.0344
3h2,0.02831,0.02115,0.04584,0.06488,0.06488,0.14772,0.01797
1h2,0.08059,0.04008,0.03153,0.068,0.068,,0.03317
5ho,0.06552,0.07271,0.10173,0.09781,0.09781,,0.04119
1e,,0.02557,0.01665,,,,0.02059
eo,0.28431,,,,,0.30641,
3e,,,,,0.21201,,
e4,,,,,,,
5e,0.09003,0.03173,0.05148,0.03196,0.03196,0.13549,0.0299
e2,0.20912,0.14107,,0.27841,0.19651,0.26102,0.14216
5h4,,,,0.07321,0.2083,,
1c4_0,0.0146,0.01304,0.01002,0.01452,0.01438,0.03785,0.01618
1c4_1,0.00986,0.0061,0.01161,0.03826,0.03481,0.07976,0.00745
