LM1,TS,LM2,REFERENCE,B3LYP,APFD,DFTB,AM1,PM3,PM3MM,PM6
4c1,oe,3ob,-7.682,-7.961,-6.132,n/a,-1.006,-1.24,-1.223,n/a
4c1,oh1,3ob,-7.682,-7.961,-6.132,n/a,-1.006,-1.24,-1.223,n/a
4c1,4h3,2so,-3.736,-3.928,-3.761,n/a,-0.044,n/a,n/a,n/a
4c1,oh1,5s1,-7.824,-7.44,-7.219,n/a,-0.16,n/a,n/a,n/a
4c1,oh1,2so,n/a,n/a,-3.761,n/a,-0.044,n/a,n/a,2.814
4c1,4e,2so,n/a,n/a,n/a,-2.514,-0.044,-1.043,-1.181,2.814
4c1,4e,1s3,n/a,n/a,n/a,-2.989,-0.53,n/a,n/a,n/a
4c1,oh5,os2,-8.252,-7.804,-6.405,-2.827,-1.633,n/a,n/a,n/a
4c1,oh5,3ob,-7.682,-7.961,-6.132,-2.555,-1.006,n/a,n/a,n/a
4c1,4h5,1s5,-7.377,-7.929,-6.655,-3.407,-1.309,-2.565,-2.535,2.448
4c1,4h5,os2,n/a,n/a,n/a,n/a,-1.633,-1.629,-1.547,n/a
4c1,4h3,1s3,n/a,-5.922,-5.302,n/a,n/a,n/a,n/a,n/a
4c1,oh1,b14,-9.419,-9.549,-9.17,n/a,n/a,-2.192,-2.162,n/a
4c1,2h3,5s1,-7.824,-7.44,-7.219,n/a,n/a,n/a,n/a,n/a
4c1,2h3,2so,-3.736,-3.928,-3.761,n/a,n/a,n/a,n/a,n/a
4c1,e3,2so,-3.736,-3.928,-3.761,n/a,n/a,n/a,n/a,n/a
4c1,b14,5s1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,oh5,1s5,n/a,n/a,n/a,-3.407,n/a,n/a,n/a,n/a
4c1,2h1,5s1,n/a,n/a,n/a,n/a,n/a,-1.197,-1.167,n/a
4c1,4h5,b25,n/a,n/a,n/a,n/a,n/a,-3.971,-2.226,n/a
4c1,2e,2so,n/a,n/a,n/a,n/a,n/a,-1.043,-1.181,n/a
4c1,2e,5s1,n/a,n/a,n/a,n/a,n/a,-1.197,-1.167,n/a
4c1,4h5,3ob,n/a,n/a,n/a,n/a,n/a,-1.24,-1.223,n/a
4c1,oe,2so,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.814
