LM1,TS,LM2,REFERENCE,B3LYP,APFD,DFTB,AM1,PM3,PM3MM,PM6
4c1,oe,3ob,0.0,0.0,0.0,0,0.008,0.012,0.012,0
4c1,4h3,2so,0.019,0.019,0.015,0,0.477,0,0,0
4c1,oh1,5s1,0.0,0.0,0.0,0,0.024,0,0,0
4c1,4e,2so,0,0,0,0.349,0.163,0.279,0.278,0.335
4c1,oh5,os2,0.0,0.0,0.0,0.06,0.015,0,0,0
4c1,4e,1s3,0,0,0,0.349,0.163,0,0,0
4c1,oh5,3ob,0.0,0.0,0.0,0.06,0.015,0,0,0
4c1,4h5,1s5,0.0,0.0,0.0,0.122,0.055,0.139,0.138,0.617
4c1,oh1,2so,0,0,0.0,0,0.024,0,0,0.024
4c1,4h5,os2,0,0,0,0,0.055,0.139,0.138,0
4c1,4h3,1s3,0,0.019,0.015,0,0,0,0,0
4c1,oh1,b14,0.0,0.0,0.0,0,0,0.011,0.014,0
4c1,oh1,3ob,0.0,0.0,0.0,0,0,0.011,0.014,0
4c1,2h3,5s1,0.057,0.063,0.095,0,0,0,0,0
4c1,2h3,2so,0.057,0.063,0.095,0,0,0,0,0
4c1,e3,2so,0.868,0.836,0.779,0,0,0,0,0
4c1,b14,5s1,0,0,0.001,0,0,0,0,0
4c1,oh5,1s5,0,0,0,0.06,0,0,0,0
4c1,2h1,5s1,0,0,0,0,0,0.032,0.032,0
4c1,4h5,b25,0,0,0,0,0,0.139,0.138,0
4c1,2e,2so,0,0,0,0,0,0.099,0.098,0
4c1,4h5,3ob,0,0,0,0,0,0.139,0.138,0
4c1,oh1,5e,0,0,0,0,0,0,0,0.024
