LM1,TS,LM2,REFERENCE,B3LYP,APFD,DFTB,AM1,PM3,PM3MM,PM6
4c1,oe,3ob,0.0,0.0,0.0,0,0.008,0.011,0.011,0
4c1,oh1,3ob,0.0,0.0,0.0,0,0.019,0.01,0.01,0
4c1,4h3,2so,0.019,0.019,0.015,0,0.473,0,0,0
4c1,oh1,5s1,0.0,0.0,0.0,0,0.019,0,0,0
4c1,oh1,2so,0,0,0.0,0,0.019,0,0,0.023
4c1,4e,2so,0,0,0,0.349,0.161,0.254,0.254,0.331
4c1,4e,1s3,0,0,0,0.349,0.161,0,0,0
4c1,oh5,os2,0.0,0.0,0.0,0.06,0.015,0,0,0
4c1,oh5,3ob,0.0,0.0,0.0,0.06,0.015,0,0,0
4c1,4h5,1s5,0.0,0.0,0.0,0.122,0.055,0.126,0.126,0.609
4c1,4h5,os2,0,0,0,0,0.055,0.126,0.126,0
4c1,4h3,1s3,0,0.019,0.015,0,0,0,0,0
4c1,oh1,b14,0.0,0.0,0.0,0,0,0.01,0.01,0
4c1,2h3,5s1,0.057,0.063,0.095,0,0,0,0,0
4c1,2h3,2so,0.057,0.063,0.095,0,0,0,0,0
4c1,e3,2so,0.868,0.836,0.78,0,0,0,0,0
4c1,b14,5s1,0,0,0,0,0,0,0,0
4c1,oh5,1s5,0,0,0,0.06,0,0,0,0
4c1,2h1,5s1,0,0,0,0,0,0.029,0.029,0
4c1,4h5,b25,0,0,0,0,0,0.126,0.126,0
4c1,2e,2so,0,0,0,0,0,0.09,0.09,0
4c1,2e,5s1,0,0,0,0,0,0.09,0.09,0
4c1,4h5,3ob,0,0,0,0,0,0.126,0.126,0
4c1,oe,2so,0,0,0,0,0,0,0,0.037
