,AM1,B3LYP,DFTB,PM3,PM3MM,PM6,REFERENCE
4c1,2.64227,3.31749,2.30877,1.14899,1.1624,5.10561,0.10733
2h1,,,,0.0,0.0,,
4h3,6.19418,1.14616,78.05518,,,,0.4673
2e,,,,0.0,0.0,,
4e,0.0,,0.0,0.0,0.0,0.0,
e3,,1.32215,,,,,0.0
2h3,,1.56484,,,,,2.18046
oe,,1.00276,,,,,0.0
oh5,9.56372,0.99559,75.00399,,,9.41432,0.0502
e1,6.86337,1.10375,,7.46749,7.46749,,1.34826
e5,8.50763,1.02856,76.12854,10.54874,10.54874,9.87311,0.39623
oh1,7.53154,0.84223,,8.98287,9.26598,7.40479,0.53488
1s3,2.66808,2.43199,2.62459,1.7729,1.7729,2.46003,1.37223
b14,2.73458,1.51638,,6.26837,6.26837,,1.39112
2so_0,1.9755,6.62386,,1.90153,1.90157,2.73921,3.14663
2so_1,2.18451,2.36484,1.24151,2.01599,1.93628,1.48498,0.0
14b,5.72561,2.23241,77.97146,5.98763,5.98763,5.77915,2.88141
3ob,5.49346,1.46904,26.01865,5.26826,5.06901,4.34269,1.79127
3s1_0,,1.28035,4.51,6.10549,6.06712,,0.06751
1s5_0,4.00133,2.1626,4.12168,4.6032,4.60326,4.23686,0.24152
os2_0,5.50205,0.26225,5.68015,6.06821,5.76371,,0.26915
5s1,,1.85078,3.99489,5.51827,5.51844,0.53879,0.24136
3s1_1,5.21146,10.39714,4.24435,4.13337,4.13337,8.97965,0.0
25b,6.4241,0.3749,36.27882,6.03617,5.97678,,0.0
b25,6.85896,0.45238,,7.59741,7.81537,7.02756,0.44837
os2_1,4.79504,1.08197,4.76016,3.97409,3.86336,3.92213,0.11026
1s5_1,4.40619,2.0174,2.95239,3.94689,3.94689,3.17561,0.0
3h4,5.29791,0.348,77.63644,,,,1.09032
3h2,5.9704,0.83655,77.95245,5.08507,5.08507,7.25818,0.70462
1h2,6.89373,0.86956,78.71822,6.22542,6.22542,,1.11652
5ho,9.30067,0.98851,74.23922,9.40826,9.40826,,0.64196
1e,,0.77002,77.07421,,,,0.97628
eo,0.0,,,,,0.0,
3e,,,,,0.0,,
e4,,,,,,,
5e,6.73378,1.67148,77.75344,7.17637,7.17637,9.80649,1.98669
e2,8.25026,0.52437,,7.63593,6.5163,10.21938,0.0
5h4,,,,0.0,0.0,,
1c4_0,2.86025,7.3014,2.43047,2.85272,2.93243,1.84673,0.0
1c4_1,1.5179,1.75576,1.31164,1.34728,1.51222,1.37791,0.18398
