pathway,AM1,B3LYP,DFTB,PM3,PM3MM,PM6,REFERENCE
2so_1_3ob-1s5_1,1,0,0,0,0,0,0
4c1_os2_0-oh5,1,0,1,0,0,0,0
4c1_os2_1-e5,1,0,0,1,1,0,0
1s5_1_1c4_0-1h2,1,0,1,0,0,0,0
4c1_2so_1-4e,3,0,1,2,2,1,0
4c1_3ob-oh5,1,1,1,0,0,0,1
2so_0_os2_0-b14,1,0,0,0,0,0,0
3s1_1_25b-b14,1,0,0,0,0,0,0
4c1_1s5_0-e5,1,2,0,2,2,1,2
1s3_1s5_0-14b,1,0,2,0,0,2,0
2so_1_1s5_0-14b,1,2,0,2,2,0,2
os2_1_1c4_0-3h4,1,0,0,0,0,0,0
4c1_25b-e1,2,0,0,0,0,0,0
4c1_2so_1-4h3,1,2,0,0,0,0,3
1s5_0_os2_1-os2_0,1,0,0,0,0,0,0
1s5_0_os2_1-b25,1,1,0,0,0,0,1
1s5_0_1c4_1-1h2,1,1,1,0,0,0,0
1s5_0_1c4_0-e2,1,0,0,0,0,0,0
os2_1_1c4_0-3h2,3,0,2,0,0,0,0
os2_1_1c4_1-3h2,1,3,2,3,3,0,3
3ob_1c4_0-3h2,1,0,1,0,0,1,0
os2_0_1c4_1-3h2,1,0,0,2,2,0,0
4c1_2so_1-e1,1,0,0,0,0,0,0
4c1_3ob-oh1,1,0,0,0,0,0,0
1s3_1c4_0-eo,1,0,0,0,0,0,0
2so_1_1c4_0-5ho,2,1,2,3,3,0,0
2so_1_1c4_1-5ho,1,2,0,0,0,0,2
2so_0_1c4_0-5e,3,1,0,4,4,0,1
25b_1c4_0-5e,1,0,0,1,1,0,0
2so_1_1c4_0-5e,1,1,0,3,3,0,1
25b_1c4_1-5e,1,1,2,0,0,0,1
3s1_0_1c4_1-3h2,0,1,2,0,0,0,2
4c1_3s1_0-e1,0,1,0,0,0,0,1
1s3_2so_1-1s3,0,1,0,0,0,0,1
4c1_25b-2h3,0,1,0,0,0,0,1
1s3_1c4_1-1e,0,3,2,0,0,0,2
4c1_2so_0-2h3,0,1,0,0,0,0,1
1s5_0_1c4_1-e2,0,1,0,0,0,1,1
3s1_0_os2_1-3ob,0,1,1,0,0,0,1
3s1_1_os2_1-3ob,0,1,0,0,0,0,0
4c1_os2_1-oh5,0,1,3,0,0,0,1
1s5_1_1c4_1-1h2,0,2,2,0,0,0,3
1s3_1s5_1-14b,0,1,1,2,2,0,1
3ob_1s5_0-os2_0,0,1,0,0,0,0,1
3ob_1c4_1-3h2,0,3,0,0,0,0,2
5s1_1c4_1-3h4,0,1,0,0,0,0,0
3s1_1_1c4_1-3h4,0,2,2,0,0,0,1
4c1_1s3-4h3,0,1,0,0,0,0,0
1s3_3ob-14b,0,1,0,0,0,0,0
4c1_3s1_0-oe,0,1,0,0,0,0,1
1s3_os2_1-14b,0,1,0,0,0,0,1
2so_0_1s5_0-14b,0,1,0,0,0,0,0
5s1_3s1_1-b14,0,1,0,1,1,0,1
4c1_5s1-e1,0,3,0,0,0,0,2
4c1_3s1_1-oh1,0,2,0,0,0,0,2
3ob_1s5_0-b25,0,2,0,0,0,0,1
3s1_0_1s5_0-os2_0,0,1,0,0,0,0,1
1s3_1c4_0-1e,0,2,1,0,0,0,2
4c1_2so_1-e3,0,1,0,0,0,0,1
4c1_3s1_0-oh1,0,1,0,2,1,0,1
4c1_b14-e1,0,1,0,0,0,0,2
